"materialEntity_fk"	"assertionValue"	"assertionUnit"	"assertionType"	"assertionBy"
"P162.2BL"	14	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P162.2BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P162.2BS"	134	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P162.2BS_pure"	62	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P164.1AL"	58	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P164.1AL_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P164.1AS"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P164.1AS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P164.1BL"	73	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P164.1BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P164.1BS"	268	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P164.1BS_pure"	70	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P164.2AS"	18	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P164.2AS_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P164.2BL"	23	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P164.2BL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P164.2BS"	53	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P164.2BS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P166.1AS"	62	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P166.1AS_pure"	16	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P166.1BS"	204	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P166.1BS_pure"	49	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P166.2AS"	43	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P166.2AS_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P166.2BL"	12	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P166.2BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P166.2BS"	94	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P166.2BS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P168.1AL"	91	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P168.1AL_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P168.1AS"	113	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P168.1AS_pure"	59	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P168.1BS"	127	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P168.1BS_pure"	59	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P168.2AL"	69	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P168.2AL_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P168.2AS"	71	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P168.2AS_pure"	36	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P168.2BL"	110	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P168.2BL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P168.2BS"	42	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P168.2BS_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P169.1AL"	5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P169.1AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P169.1AS"	289	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P169.1AS_pure"	58	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P169.1BL"	5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P169.1BS"	1158	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P169.1BS_pure"	52	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P169.2AL"	57	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P169.2AL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P169.2AS"	122	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P169.2AS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P17.1AL"	9	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P17.1AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P17.1AS"	107	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P17.1AS_pure"	58	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P17.1BL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P17.1BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P17.1BS"	109	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P17.1BS_pure"	59	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P17.2AS"	26	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P17.2AS_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P17.2BS"	53	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P17.2BS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P170.1AS"	97	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P170.1BL"	8	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P170.1BS"	38	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P170.1BS_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P170.2AL"	59	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P170.2AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P170.2AS"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P170.2AS_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P170.2BL"	2	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P170.2BS"	29	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P170.2BS_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P171.1AL"	8	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P171.1AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P171.1AS"	22	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P171.1AS_pure"	24	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P171.1BL"	14	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P171.1BL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P171.1BS"	73	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P171.1BS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P171.2AL"	9	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P171.2AL_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P171.2AS"	11	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P171.2AS_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P171.2BS"	14	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P171.2BS_pure"	16	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P172.1AL"	12	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P172.1AS"	43	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P172.1AS_pure"	44	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P172.1BL"	162	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P172.1BL_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P172.1BS"	53	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P172.1BS_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P172.2AL"	11	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P172.2AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P172.2AS"	103	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P172.2AS_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P172.2BL"	72	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P172.2BL_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P172.2BS"	42	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P172.2BS_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P173.1AL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P173.1AS"	134	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P173.1AS_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P173.1BL"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P173.1BL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P173.1BS"	487	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P173.2AL"	590	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P173.2AL_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P173.2AS"	414	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P173.2AS_pure"	26	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P173.2BL"	17	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P173.2BS"	371	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P174.1AL"	16	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P174.1AL_pure"	12	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P174.1AS"	56	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P174.1AS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P174.1BL"	15	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P174.1BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P174.1BS"	67	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P174.1BS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P174.2AL"	18	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P174.2AL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P174.2AS"	40	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P174.2AS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P174.2BL"	5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P174.2BL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P174.2BS"	85	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P174.2BS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P175.1AL"	43	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P175.1AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P175.1AS"	92	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P175.1AS_pure"	54	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P175.1BL"	124	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P175.1BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P175.1BS"	133	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P175.1BS_pure"	47	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P175.2BL"	47	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P175.2BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P175.2BS"	194	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P176.1AS"	52	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P176.1AS_pure"	47	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P176.1BS"	31	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P176.1BS_pure"	49	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P176.2AS"	61	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P176.2AS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P176.2BL"	38	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P176.2BL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P176.2BS"	70	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P176.2BS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P177.1AL"	15	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P177.1AS"	23	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P177.1BS"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P177.2AS"	28	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P177.2AS_pure"	26	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P177.2BS"	58	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P177.2BS_pure"	40	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P178.1AL"	30	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P178.1AL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P178.1AS"	138	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P178.1AS_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P178.1BL"	23	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P178.1BL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P178.1BS"	126	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P178.1BS_pure"	48	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P178.2AL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P178.2AL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P178.2AS"	132	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P178.2AS_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P178.2BL"	247	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P178.2BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P178.2BS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P179.1AL"	24	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P179.1AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P179.1AS"	87	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P179.1AS_pure"	55	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P179.1BL"	8	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P179.1BL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P179.1BS"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P179.1BS_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P179.2AS"	49	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P179.2AS_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P179.2BS"	101	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P179.2BS_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P18.1AL"	48	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P18.1AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P18.1AS"	38	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P18.1AS_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P18.1BL"	111	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P18.1BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P18.1BS"	138	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P18.1BS_pure"	57	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P18.2AS"	55	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P18.2AS_pure"	47	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P18.2BL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P18.2BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P18.2BS"	219	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P18.2BS_pure"	42	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P180.1AL"	31	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P180.1AL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P180.1AS"	29	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P180.1AS_pure"	23	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P180.1BL"	5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P180.1BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P180.1BS"	118	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P180.1BS_pure"	54	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P180.2AL"	3	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P180.2AL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P180.2AS"	26	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P180.2AS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P180.2BS"	27	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P180.2BS_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P181.1BL"	1	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P181.1BS"	420	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P181.1BS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P181.2AL"	165	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P181.2AL_pure"	75	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P181.2AS"	1103	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P181.2AS_pure"	75	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P181.2BL"	309	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P181.2BL_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P181.2BS"	981	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P181.2BS_pure"	88	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P182.1AL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P182.1AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P182.1AS"	31	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P182.1AS_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P182.1BL"	2	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P182.1BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P182.1BS"	119	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P182.1BS_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P182.2AS"	46	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P182.2AS_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P182.2BL"	18	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P182.2BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P182.2BS"	47	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P182.2BS_pure"	16	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P183.1AL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P183.1AS"	80	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P183.1BS"	152	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P183.2AL"	5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P183.2AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P183.2AS"	124	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P183.2AS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P183.2BL"	12	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P183.2BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P183.2BS"	159	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P183.2BS_pure"	57	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P184.1AL"	19	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P184.1AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P184.1AS"	5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P184.1AS_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P184.1BS"	8	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P184.1BS_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P184.2AS"	27	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P184.2AS_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P184.2BS_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P185.1AL"	47	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P185.1AL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P185.1AS"	147	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P185.1AS_pure"	47	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P185.1BS"	84	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P185.1BS_pure"	60	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P185.2AL"	65	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P185.2AL_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P185.2AS"	189	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P185.2AS_pure"	51	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P185.2BL"	43	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P185.2BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P185.2BS"	104	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P185.2BS_pure"	62	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P186.1AL"	38	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P186.1AL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P186.1AS"	47	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P186.1AS_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P186.1BL"	12	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P186.1BL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P186.1BS"	55	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P186.1BS_pure"	23	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P186.2AL"	18	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P186.2AL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P186.2AS"	42	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P186.2AS_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P186.2BL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P186.2BL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P186.2BS"	149	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P186.2BS_pure"	40	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P187.1AL"	3	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P187.1AL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P187.1AS"	18	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P187.1AS_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P187.1BL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P187.1BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P187.1BS"	48	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P187.1BS_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P187.2AL"	59	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P187.2AL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P187.2AS"	146	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P187.2AS_pure"	57	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P187.2BL"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P187.2BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P187.2BS"	75	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P187.2BS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P188.1AL"	55	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P188.1AL_pure"	16	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P188.1AS"	63	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P188.1AS_pure"	21	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P188.1BL"	116	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P188.1BL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P188.1BS"	1825	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
