"materialEntity_fk"	"assertionValue"	"assertionUnit"	"assertionType"	"assertionBy"
"P155.2BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P155.2BS"	155	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P155.2BS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P156.1AL"	20	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P156.1AS"	69	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P156.1BS"	304	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P156.1BS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P158.1AL"	71	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P158.1AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P158.1AS"	86	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P158.1AS_pure"	44	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P158.1BL"	34	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P158.1BL_pure"	12	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P158.1BS"	166	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P158.1BS_pure"	55	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P158.2AL"	29	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P158.2AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P158.2AS"	464	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P158.2AS_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P158.2BL"	8	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P158.2BL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P158.2BS"	99	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P158.2BS_pure"	59	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P159.1AL"	85	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P159.1AL_pure"	53	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P159.1AS"	50	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P159.1AS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P159.1BL"	12	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P159.1BL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P159.1BS"	87	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P159.1BS_pure"	53	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P159.2AS"	83	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P159.2AS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P159.2BL"	56	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P159.2BL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P159.2BS"	50	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P159.2BS_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P16.1AS"	20	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P16.1AS_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P16.1BS"	33	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P16.1BS_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P16.2AL"	44	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P16.2AL_pure"	21	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P16.2AS"	58	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P16.2AS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P16.2BL"	60	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P16.2BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P16.2BS"	54	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P16.2BS_pure"	58	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P160.1AL"	19	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P160.1AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P160.1AS"	156	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P160.1AS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P160.1BL"	16	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
