"surveyTarget_fk"	"surveyTargetType"	"surveyTargetValue"
"0b584744-e038-4596-bcf5-b809bf66dfcb"	"sub-land cover"	"intesive agriculture"
"0b584744-e038-4596-bcf5-b809bf66dfcb"	"sub-land cover"	"extensive agriculture"
"0b584744-e038-4596-bcf5-b809bf66dfcb"	"sub-land cover"	"cropfield"
"3a4079c6-ae69-483b-91a1-584989562c75"	"land cover"	"wet"
"3a4079c6-ae69-483b-91a1-584989562c75"	"sub-land cover"	"beach meadow"
"3a4079c6-ae69-483b-91a1-584989562c75"	"sub-land cover"	"meadow"
"746702b1-47d4-4bb4-baf3-7255edc9671e"	"land cover"	"dry"
"746702b1-47d4-4bb4-baf3-7255edc9671e"	"land cover"	"agriculture"
"746702b1-47d4-4bb4-baf3-7255edc9671e"	"sub-land cover"	"moor"
"746702b1-47d4-4bb4-baf3-7255edc9671e"	"sub-land cover"	"intensive agriculture"
"ace49113-6324-4210-8cb9-f313b26ffc21"	"land cover"	"wet"
"ace49113-6324-4210-8cb9-f313b26ffc21"	"sub-land cover"	"beach meadow"
"ace49113-6324-4210-8cb9-f313b26ffc21"	"sub-land cover"	"lake"
"ace49113-6324-4210-8cb9-f313b26ffc21"	"sub-land cover"	"marsh"
"2511c905-fd6d-45d0-bb0f-e053b34308b4"	"land cover"	"agriculture"
"99fa8bd4-255d-4c3a-9a2f-70c17cbabb88"	"land cover"	"wet"
"99fa8bd4-255d-4c3a-9a2f-70c17cbabb88"	"land cover"	"agriculture"
"99fa8bd4-255d-4c3a-9a2f-70c17cbabb88"	"sub-land cover"	"marsh"
"99fa8bd4-255d-4c3a-9a2f-70c17cbabb88"	"sub-land cover"	"intensive agriculture"
"99fa8bd4-255d-4c3a-9a2f-70c17cbabb88"	"sub-land cover"	"extensive agriculture"
"99fa8bd4-255d-4c3a-9a2f-70c17cbabb88"	"sub-land cover"	"semi-intensive agriculture"
"fec7d170-4ad9-45c8-aeae-13a4194ae34f"	"land cover"	"wet"
"fec7d170-4ad9-45c8-aeae-13a4194ae34f"	"land cover"	"agriculture"
"fec7d170-4ad9-45c8-aeae-13a4194ae34f"	"sub-land cover"	"marsh"
"fec7d170-4ad9-45c8-aeae-13a4194ae34f"	"sub-land cover"	"lake"
"fec7d170-4ad9-45c8-aeae-13a4194ae34f"	"sub-land cover"	"intensive agriculture"
"d0dc693a-175a-4c68-bdae-471b6cb6d358"	"land cover"	"forest"
"d0dc693a-175a-4c68-bdae-471b6cb6d358"	"land cover"	"wet"
"d0dc693a-175a-4c68-bdae-471b6cb6d358"	"sub-land cover"	"marsh"
"d0dc693a-175a-4c68-bdae-471b6cb6d358"	"sub-land cover"	"beach meadow"
"76b12a18-ed9d-4e99-b9d4-2e1577a2d25e"	"land cover"	"agriculture"
"76b12a18-ed9d-4e99-b9d4-2e1577a2d25e"	"sub-land cover"	"forest"
"bd0ba300-4527-4139-81fc-471afbc3c188"	"land cover"	"wet"
"bd0ba300-4527-4139-81fc-471afbc3c188"	"land cover"	"agriculture"
"bd0ba300-4527-4139-81fc-471afbc3c188"	"sub-land cover"	"marsh"
"bd0ba300-4527-4139-81fc-471afbc3c188"	"sub-land cover"	"intensive agriculture"
"bd0ba300-4527-4139-81fc-471afbc3c188"	"sub-land cover"	"semi-intensive agriculture"
"bd0ba300-4527-4139-81fc-471afbc3c188"	"sub-land cover"	"extensive agriculture"
"21041bea-d38f-4146-b778-bad3e02f1692"	"land cover"	"wet"
"21041bea-d38f-4146-b778-bad3e02f1692"	"sub-land cover"	"meadow"
"21041bea-d38f-4146-b778-bad3e02f1692"	"sub-land cover"	"beach meadow"
"21041bea-d38f-4146-b778-bad3e02f1692"	"sub-land cover"	"marsh"
"dcf13348-2a01-43d0-86d1-63a38b427ab5"	"land cover"	"dry"
"dcf13348-2a01-43d0-86d1-63a38b427ab5"	"sub-land cover"	"pasture"
"dcf13348-2a01-43d0-86d1-63a38b427ab5"	"sub-land cover"	"agriculture"
"dcf13348-2a01-43d0-86d1-63a38b427ab5"	"sub-land cover"	"forest"
"4e3ddcce-1147-4f61-be63-197cb5f06ff6"	"land cover"	"wet"
"4e3ddcce-1147-4f61-be63-197cb5f06ff6"	"sub-land cover"	"beach meadow"
"4e3ddcce-1147-4f61-be63-197cb5f06ff6"	"sub-land cover"	"marsh"
"c665b156-7e7f-4d58-9dd4-0073925358d1"	"land cover"	"forest"
"c665b156-7e7f-4d58-9dd4-0073925358d1"	"land cover"	"urban"
"2ece26e8-29bf-41e9-873e-f655aca96210"	"land cover"	"wet"
"2ece26e8-29bf-41e9-873e-f655aca96210"	"sub-land cover"	"beach meadow"
"2ece26e8-29bf-41e9-873e-f655aca96210"	"sub-land cover"	"meadow"
"2ece26e8-29bf-41e9-873e-f655aca96210"	"sub-land cover"	"intensive agriculture"
"2ece26e8-29bf-41e9-873e-f655aca96210"	"sub-land cover"	"semi-intensive agriculture"
"eec78347-ab84-460d-a0b2-61eea2aac605"	"land cover"	"dry"
"eec78347-ab84-460d-a0b2-61eea2aac605"	"land cover"	"agriculture"
"eec78347-ab84-460d-a0b2-61eea2aac605"	"sub-land cover"	"pasture"
"eec78347-ab84-460d-a0b2-61eea2aac605"	"sub-land cover"	"intensive agriculture"
"72e75bfb-e10a-48dd-97ad-c6abeda4513e"	"land cover"	"dry"
"72e75bfb-e10a-48dd-97ad-c6abeda4513e"	"land cover"	"wet"
"72e75bfb-e10a-48dd-97ad-c6abeda4513e"	"sub-land cover"	"marsh"
"72e75bfb-e10a-48dd-97ad-c6abeda4513e"	"sub-land cover"	"lake"
"72e75bfb-e10a-48dd-97ad-c6abeda4513e"	"sub-land cover"	"moor"
"401ba612-aa27-4b84-9a2a-6506e64d43eb"	"land cover"	"wet"
"401ba612-aa27-4b84-9a2a-6506e64d43eb"	"sub-land cover"	"lake"
"401ba612-aa27-4b84-9a2a-6506e64d43eb"	"sub-land cover"	"beach meadow"
"a344af13-2cdb-49de-9144-5d229d849b5b"	"land cover"	"dry"
"a344af13-2cdb-49de-9144-5d229d849b5b"	"land cover"	"agriculture"
"a344af13-2cdb-49de-9144-5d229d849b5b"	"sub-land cover"	"pasture"
"a344af13-2cdb-49de-9144-5d229d849b5b"	"sub-land cover"	"intensive agriculture"
"a344af13-2cdb-49de-9144-5d229d849b5b"	"sub-land cover"	"semi-intensive agriculture"
"9b2b226c-8421-4fc0-adcf-47d6af5ea55c"	"land cover"	"wet"
"9b2b226c-8421-4fc0-adcf-47d6af5ea55c"	"land cover"	"dry"
"9b2b226c-8421-4fc0-adcf-47d6af5ea55c"	"land cover"	"forest"
"9b2b226c-8421-4fc0-adcf-47d6af5ea55c"	"sub-land cover"	"meadow"
"9b2b226c-8421-4fc0-adcf-47d6af5ea55c"	"sub-land cover"	"marsh"
"9b2b226c-8421-4fc0-adcf-47d6af5ea55c"	"sub-land cover"	"moor"
