surveyTargetID	surveyID	surveyTargetType	surveyTargetValue	includeOrExclude	isSurveyTargetFullyReported
P1.1A_taxon	P1.1A	taxon	Insecta	include	TRUE
P1.1B_taxon	P1.1B	taxon	Insecta	include	TRUE
P200.1A_taxon	P200.1A	taxon	Insecta	include	TRUE
P200.1B_taxon	P200.1B	taxon	Insecta	include	TRUE
P1.2A_taxon	P1.2A	taxon	Insecta	include	TRUE
P1.2B_taxon	P1.2B	taxon	Insecta	include	TRUE
P200.2A_taxon	P200.2A	taxon	Insecta	include	TRUE
P200.2B_taxon	P200.2B	taxon	Insecta	include	TRUE
P2.1A_taxon	P2.1A	taxon	Insecta	include	TRUE
P2.1B_taxon	P2.1B	taxon	Insecta	include	TRUE
P2.2A_taxon	P2.2A	taxon	Insecta	include	TRUE
P2.2B_taxon	P2.2B	taxon	Insecta	include	TRUE
P3.1A_taxon	P3.1A	taxon	Insecta	include	TRUE
P3.1B_taxon	P3.1B	taxon	Insecta	include	TRUE
P310.1A_taxon	P310.1A	taxon	Insecta	include	TRUE
P310.1B_taxon	P310.1B	taxon	Insecta	include	TRUE
P3.2A_taxon	P3.2A	taxon	Insecta	include	TRUE
P3.2B_taxon	P3.2B	taxon	Insecta	include	TRUE
P196.1A_taxon	P196.1A	taxon	Insecta	include	TRUE
P196.1B_taxon	P196.1B	taxon	Insecta	include	TRUE
P4.1A_taxon	P4.1A	taxon	Insecta	include	TRUE
P4.1B_taxon	P4.1B	taxon	Insecta	include	TRUE
P4.2A_taxon	P4.2A	taxon	Insecta	include	TRUE
P4.2B_taxon	P4.2B	taxon	Insecta	include	TRUE
P6.1A_taxon	P6.1A	taxon	Insecta	include	TRUE
P6.1B_taxon	P6.1B	taxon	Insecta	include	TRUE
P6.2A_taxon	P6.2A	taxon	Insecta	include	TRUE
P6.2B_taxon	P6.2B	taxon	Insecta	include	TRUE
P7.1A_taxon	P7.1A	taxon	Insecta	include	TRUE
P7.1B_taxon	P7.1B	taxon	Insecta	include	TRUE
P283.1A_taxon	P283.1A	taxon	Insecta	include	TRUE
P283.1B_taxon	P283.1B	taxon	Insecta	include	TRUE
P7.2A_taxon	P7.2A	taxon	Insecta	include	TRUE
P7.2B_taxon	P7.2B	taxon	Insecta	include	TRUE
P8.1A_taxon	P8.1A	taxon	Insecta	include	TRUE
P8.1B_taxon	P8.1B	taxon	Insecta	include	TRUE
P199.1A_taxon	P199.1A	taxon	Insecta	include	TRUE
P199.1B_taxon	P199.1B	taxon	Insecta	include	TRUE
P8.2A_taxon	P8.2A	taxon	Insecta	include	TRUE
P8.2B_taxon	P8.2B	taxon	Insecta	include	TRUE
P302.1A_taxon	P302.1A	taxon	Insecta	include	TRUE
P302.1B_taxon	P302.1B	taxon	Insecta	include	TRUE
P9.1A_taxon	P9.1A	taxon	Insecta	include	TRUE
P9.1B_taxon	P9.1B	taxon	Insecta	include	TRUE
P302.2A_taxon	P302.2A	taxon	Insecta	include	TRUE
P302.2B_taxon	P302.2B	taxon	Insecta	include	TRUE
P9.2A_taxon	P9.2A	taxon	Insecta	include	TRUE
P9.2B_taxon	P9.2B	taxon	Insecta	include	TRUE
P10.1A_taxon	P10.1A	taxon	Insecta	include	TRUE
P10.1B_taxon	P10.1B	taxon	Insecta	include	TRUE
P10.2A_taxon	P10.2A	taxon	Insecta	include	TRUE
P10.2B_taxon	P10.2B	taxon	Insecta	include	TRUE
P346.2A_taxon	P346.2A	taxon	Insecta	include	TRUE
P346.2B_taxon	P346.2B	taxon	Insecta	include	TRUE
P11.1A_taxon	P11.1A	taxon	Insecta	include	TRUE
P11.1B_taxon	P11.1B	taxon	Insecta	include	TRUE
P209.1A_taxon	P209.1A	taxon	Insecta	include	TRUE
P209.1B_taxon	P209.1B	taxon	Insecta	include	TRUE
P11.2A_taxon	P11.2A	taxon	Insecta	include	TRUE
P11.2B_taxon	P11.2B	taxon	Insecta	include	TRUE
P209.2A_taxon	P209.2A	taxon	Insecta	include	TRUE
P209.2B_taxon	P209.2B	taxon	Insecta	include	TRUE
P12.1A_taxon	P12.1A	taxon	Insecta	include	TRUE
P12.1B_taxon	P12.1B	taxon	Insecta	include	TRUE
P210.1A_taxon	P210.1A	taxon	Insecta	include	TRUE
P210.1B_taxon	P210.1B	taxon	Insecta	include	TRUE
P12.2A_taxon	P12.2A	taxon	Insecta	include	TRUE
P12.2B_taxon	P12.2B	taxon	Insecta	include	TRUE
P210.2A_taxon	P210.2A	taxon	Insecta	include	TRUE
P210.2B_taxon	P210.2B	taxon	Insecta	include	TRUE
P13.1A_taxon	P13.1A	taxon	Insecta	include	TRUE
P13.1B_taxon	P13.1B	taxon	Insecta	include	TRUE
P300.1A_taxon	P300.1A	taxon	Insecta	include	TRUE
P300.1B_taxon	P300.1B	taxon	Insecta	include	TRUE
P13.2A_taxon	P13.2A	taxon	Insecta	include	TRUE
P13.2B_taxon	P13.2B	taxon	Insecta	include	TRUE
P300.2A_taxon	P300.2A	taxon	Insecta	include	TRUE
P300.2B_taxon	P300.2B	taxon	Insecta	include	TRUE
P15.1A_taxon	P15.1A	taxon	Insecta	include	TRUE
P15.1B_taxon	P15.1B	taxon	Insecta	include	TRUE
P224.1A_taxon	P224.1A	taxon	Insecta	include	TRUE
P224.1B_taxon	P224.1B	taxon	Insecta	include	TRUE
P15.2A_taxon	P15.2A	taxon	Insecta	include	TRUE
P15.2B_taxon	P15.2B	taxon	Insecta	include	TRUE
P224.2A_taxon	P224.2A	taxon	Insecta	include	TRUE
P224.2B_taxon	P224.2B	taxon	Insecta	include	TRUE
P16.1A_taxon	P16.1A	taxon	Insecta	include	TRUE
P16.1B_taxon	P16.1B	taxon	Insecta	include	TRUE
P16.2A_taxon	P16.2A	taxon	Insecta	include	TRUE
P16.2B_taxon	P16.2B	taxon	Insecta	include	TRUE
P323.1A_taxon	P323.1A	taxon	Insecta	include	TRUE
P323.1B_taxon	P323.1B	taxon	Insecta	include	TRUE
P17.1A_taxon	P17.1A	taxon	Insecta	include	TRUE
P17.1B_taxon	P17.1B	taxon	Insecta	include	TRUE
P270.1A_taxon	P270.1A	taxon	Insecta	include	TRUE
P270.1B_taxon	P270.1B	taxon	Insecta	include	TRUE
P17.2A_taxon	P17.2A	taxon	Insecta	include	TRUE
P17.2B_taxon	P17.2B	taxon	Insecta	include	TRUE
P270.2A_taxon	P270.2A	taxon	Insecta	include	TRUE
P270.2B_taxon	P270.2B	taxon	Insecta	include	TRUE
P18.1A_taxon	P18.1A	taxon	Insecta	include	TRUE
P18.1B_taxon	P18.1B	taxon	Insecta	include	TRUE
P18.2A_taxon	P18.2A	taxon	Insecta	include	TRUE
P18.2B_taxon	P18.2B	taxon	Insecta	include	TRUE
P19.1A_taxon	P19.1A	taxon	Insecta	include	TRUE
P19.1B_taxon	P19.1B	taxon	Insecta	include	TRUE
P195.1A_taxon	P195.1A	taxon	Insecta	include	TRUE
P195.1B_taxon	P195.1B	taxon	Insecta	include	TRUE
P19.2A_taxon	P19.2A	taxon	Insecta	include	TRUE
P19.2B_taxon	P19.2B	taxon	Insecta	include	TRUE
P20.1A_taxon	P20.1A	taxon	Insecta	include	TRUE
P20.1B_taxon	P20.1B	taxon	Insecta	include	TRUE
P284.1A_taxon	P284.1A	taxon	Insecta	include	TRUE
P284.1B_taxon	P284.1B	taxon	Insecta	include	TRUE
P20.2A_taxon	P20.2A	taxon	Insecta	include	TRUE
P20.2B_taxon	P20.2B	taxon	Insecta	include	TRUE
P21.1A_taxon	P21.1A	taxon	Insecta	include	TRUE
P21.1B_taxon	P21.1B	taxon	Insecta	include	TRUE
P269.1A_taxon	P269.1A	taxon	Insecta	include	TRUE
P269.1B_taxon	P269.1B	taxon	Insecta	include	TRUE
P21.2A_taxon	P21.2A	taxon	Insecta	include	TRUE
P21.2B_taxon	P21.2B	taxon	Insecta	include	TRUE
P22.1A_taxon	P22.1A	taxon	Insecta	include	TRUE
P22.1B_taxon	P22.1B	taxon	Insecta	include	TRUE
P22.2A_taxon	P22.2A	taxon	Insecta	include	TRUE
P22.2B_taxon	P22.2B	taxon	Insecta	include	TRUE
P23.1A_taxon	P23.1A	taxon	Insecta	include	TRUE
P23.1B_taxon	P23.1B	taxon	Insecta	include	TRUE
P194.1A_taxon	P194.1A	taxon	Insecta	include	TRUE
P194.1B_taxon	P194.1B	taxon	Insecta	include	TRUE
P23.2A_taxon	P23.2A	taxon	Insecta	include	TRUE
P23.2B_taxon	P23.2B	taxon	Insecta	include	TRUE
P228.1A_taxon	P228.1A	taxon	Insecta	include	TRUE
P228.1B_taxon	P228.1B	taxon	Insecta	include	TRUE
P24.1A_taxon	P24.1A	taxon	Insecta	include	TRUE
P24.1B_taxon	P24.1B	taxon	Insecta	include	TRUE
P228.2A_taxon	P228.2A	taxon	Insecta	include	TRUE
P228.2B_taxon	P228.2B	taxon	Insecta	include	TRUE
P24.2A_taxon	P24.2A	taxon	Insecta	include	TRUE
P24.2B_taxon	P24.2B	taxon	Insecta	include	TRUE
P25.1A_taxon	P25.1A	taxon	Insecta	include	TRUE
P25.1B_taxon	P25.1B	taxon	Insecta	include	TRUE
P279.1A_taxon	P279.1A	taxon	Insecta	include	TRUE
P279.1B_taxon	P279.1B	taxon	Insecta	include	TRUE
P25.2A_taxon	P25.2A	taxon	Insecta	include	TRUE
P25.2B_taxon	P25.2B	taxon	Insecta	include	TRUE
P279.2A_taxon	P279.2A	taxon	Insecta	include	TRUE
P279.2B_taxon	P279.2B	taxon	Insecta	include	TRUE
P26.1A_taxon	P26.1A	taxon	Insecta	include	TRUE
P26.1B_taxon	P26.1B	taxon	Insecta	include	TRUE
P311.1A_taxon	P311.1A	taxon	Insecta	include	TRUE
P311.1B_taxon	P311.1B	taxon	Insecta	include	TRUE
P26.2A_taxon	P26.2A	taxon	Insecta	include	TRUE
P26.2B_taxon	P26.2B	taxon	Insecta	include	TRUE
P311.2A_taxon	P311.2A	taxon	Insecta	include	TRUE
P311.2B_taxon	P311.2B	taxon	Insecta	include	TRUE
P214.1A_taxon	P214.1A	taxon	Insecta	include	TRUE
P214.1B_taxon	P214.1B	taxon	Insecta	include	TRUE
P27.1A_taxon	P27.1A	taxon	Insecta	include	TRUE
P27.1B_taxon	P27.1B	taxon	Insecta	include	TRUE
P214.2A_taxon	P214.2A	taxon	Insecta	include	TRUE
P214.2B_taxon	P214.2B	taxon	Insecta	include	TRUE
P27.2A_taxon	P27.2A	taxon	Insecta	include	TRUE
P27.2B_taxon	P27.2B	taxon	Insecta	include	TRUE
P28.1A_taxon	P28.1A	taxon	Insecta	include	TRUE
P28.1B_taxon	P28.1B	taxon	Insecta	include	TRUE
P28.2A_taxon	P28.2A	taxon	Insecta	include	TRUE
P28.2B_taxon	P28.2B	taxon	Insecta	include	TRUE
P236.1A_taxon	P236.1A	taxon	Insecta	include	TRUE
P236.1B_taxon	P236.1B	taxon	Insecta	include	TRUE
P29.1A_taxon	P29.1A	taxon	Insecta	include	TRUE
P29.1B_taxon	P29.1B	taxon	Insecta	include	TRUE
P236.2A_taxon	P236.2A	taxon	Insecta	include	TRUE
P236.2B_taxon	P236.2B	taxon	Insecta	include	TRUE
P29.2A_taxon	P29.2A	taxon	Insecta	include	TRUE
P29.2B_taxon	P29.2B	taxon	Insecta	include	TRUE
P275.1A_taxon	P275.1A	taxon	Insecta	include	TRUE
P275.1B_taxon	P275.1B	taxon	Insecta	include	TRUE
P30.1A_taxon	P30.1A	taxon	Insecta	include	TRUE
P30.1B_taxon	P30.1B	taxon	Insecta	include	TRUE
P275.2A_taxon	P275.2A	taxon	Insecta	include	TRUE
P275.2B_taxon	P275.2B	taxon	Insecta	include	TRUE
P30.2A_taxon	P30.2A	taxon	Insecta	include	TRUE
P30.2B_taxon	P30.2B	taxon	Insecta	include	TRUE
P31.1A_taxon	P31.1A	taxon	Insecta	include	TRUE
P31.1B_taxon	P31.1B	taxon	Insecta	include	TRUE
P31.2A_taxon	P31.2A	taxon	Insecta	include	TRUE
P31.2B_taxon	P31.2B	taxon	Insecta	include	TRUE
P234.1A_taxon	P234.1A	taxon	Insecta	include	TRUE
P234.1B_taxon	P234.1B	taxon	Insecta	include	TRUE
P32.1A_taxon	P32.1A	taxon	Insecta	include	TRUE
P32.1B_taxon	P32.1B	taxon	Insecta	include	TRUE
P32.2A_taxon	P32.2A	taxon	Insecta	include	TRUE
P32.2B_taxon	P32.2B	taxon	Insecta	include	TRUE
P33.1A_taxon	P33.1A	taxon	Insecta	include	TRUE
P33.1B_taxon	P33.1B	taxon	Insecta	include	TRUE
P33.2A_taxon	P33.2A	taxon	Insecta	include	TRUE
P33.2B_taxon	P33.2B	taxon	Insecta	include	TRUE
P233.1A_taxon	P233.1A	taxon	Insecta	include	TRUE
P233.1B_taxon	P233.1B	taxon	Insecta	include	TRUE
P34.1A_taxon	P34.1A	taxon	Insecta	include	TRUE
P34.1B_taxon	P34.1B	taxon	Insecta	include	TRUE
P233.2A_taxon	P233.2A	taxon	Insecta	include	TRUE
P233.2B_taxon	P233.2B	taxon	Insecta	include	TRUE
P34.2A_taxon	P34.2A	taxon	Insecta	include	TRUE
P34.2B_taxon	P34.2B	taxon	Insecta	include	TRUE
P250.1A_taxon	P250.1A	taxon	Insecta	include	TRUE
P250.1B_taxon	P250.1B	taxon	Insecta	include	TRUE
P35.1A_taxon	P35.1A	taxon	Insecta	include	TRUE
P35.1B_taxon	P35.1B	taxon	Insecta	include	TRUE
P250.2A_taxon	P250.2A	taxon	Insecta	include	TRUE
P250.2B_taxon	P250.2B	taxon	Insecta	include	TRUE
P35.2A_taxon	P35.2A	taxon	Insecta	include	TRUE
P35.2B_taxon	P35.2B	taxon	Insecta	include	TRUE
P36.1A_taxon	P36.1A	taxon	Insecta	include	TRUE
P36.1B_taxon	P36.1B	taxon	Insecta	include	TRUE
P36.2A_taxon	P36.2A	taxon	Insecta	include	TRUE
P36.2B_taxon	P36.2B	taxon	Insecta	include	TRUE
P213.1A_taxon	P213.1A	taxon	Insecta	include	TRUE
P213.1B_taxon	P213.1B	taxon	Insecta	include	TRUE
P37.1A_taxon	P37.1A	taxon	Insecta	include	TRUE
P37.1B_taxon	P37.1B	taxon	Insecta	include	TRUE
P213.2A_taxon	P213.2A	taxon	Insecta	include	TRUE
P213.2B_taxon	P213.2B	taxon	Insecta	include	TRUE
P37.2A_taxon	P37.2A	taxon	Insecta	include	TRUE
P37.2B_taxon	P37.2B	taxon	Insecta	include	TRUE
P204.1A_taxon	P204.1A	taxon	Insecta	include	TRUE
P204.1B_taxon	P204.1B	taxon	Insecta	include	TRUE
P38.1A_taxon	P38.1A	taxon	Insecta	include	TRUE
P38.1B_taxon	P38.1B	taxon	Insecta	include	TRUE
P204.2A_taxon	P204.2A	taxon	Insecta	include	TRUE
P204.2B_taxon	P204.2B	taxon	Insecta	include	TRUE
P38.2A_taxon	P38.2A	taxon	Insecta	include	TRUE
P38.2B_taxon	P38.2B	taxon	Insecta	include	TRUE
P309.1A_taxon	P309.1A	taxon	Insecta	include	TRUE
P309.1B_taxon	P309.1B	taxon	Insecta	include	TRUE
P39.1A_taxon	P39.1A	taxon	Insecta	include	TRUE
P39.1B_taxon	P39.1B	taxon	Insecta	include	TRUE
P39.2A_taxon	P39.2A	taxon	Insecta	include	TRUE
P39.2B_taxon	P39.2B	taxon	Insecta	include	TRUE
P299.1A_taxon	P299.1A	taxon	Insecta	include	TRUE
P299.1B_taxon	P299.1B	taxon	Insecta	include	TRUE
P40.1A_taxon	P40.1A	taxon	Insecta	include	TRUE
P40.1B_taxon	P40.1B	taxon	Insecta	include	TRUE
P299.2A_taxon	P299.2A	taxon	Insecta	include	TRUE
P299.2B_taxon	P299.2B	taxon	Insecta	include	TRUE
P40.2A_taxon	P40.2A	taxon	Insecta	include	TRUE
P40.2B_taxon	P40.2B	taxon	Insecta	include	TRUE
P288.1A_taxon	P288.1A	taxon	Insecta	include	TRUE
P288.1B_taxon	P288.1B	taxon	Insecta	include	TRUE
P41.1A_taxon	P41.1A	taxon	Insecta	include	TRUE
P41.1B_taxon	P41.1B	taxon	Insecta	include	TRUE
P41.2A_taxon	P41.2A	taxon	Insecta	include	TRUE
P41.2B_taxon	P41.2B	taxon	Insecta	include	TRUE
P42.1A_taxon	P42.1A	taxon	Insecta	include	TRUE
P42.1B_taxon	P42.1B	taxon	Insecta	include	TRUE
P212.1A_taxon	P212.1A	taxon	Insecta	include	TRUE
P212.1B_taxon	P212.1B	taxon	Insecta	include	TRUE
P42.2A_taxon	P42.2A	taxon	Insecta	include	TRUE
P42.2B_taxon	P42.2B	taxon	Insecta	include	TRUE
P291.1A_taxon	P291.1A	taxon	Insecta	include	TRUE
P291.1B_taxon	P291.1B	taxon	Insecta	include	TRUE
P43.1A_taxon	P43.1A	taxon	Insecta	include	TRUE
P43.1B_taxon	P43.1B	taxon	Insecta	include	TRUE
P291.2A_taxon	P291.2A	taxon	Insecta	include	TRUE
P291.2B_taxon	P291.2B	taxon	Insecta	include	TRUE
P43.2A_taxon	P43.2A	taxon	Insecta	include	TRUE
P43.2B_taxon	P43.2B	taxon	Insecta	include	TRUE
P44.1A_taxon	P44.1A	taxon	Insecta	include	TRUE
P44.1B_taxon	P44.1B	taxon	Insecta	include	TRUE
P44.2A_taxon	P44.2A	taxon	Insecta	include	TRUE
P44.2B_taxon	P44.2B	taxon	Insecta	include	TRUE
P45.1A_taxon	P45.1A	taxon	Insecta	include	TRUE
P45.1B_taxon	P45.1B	taxon	Insecta	include	TRUE
P46.1A_taxon	P46.1A	taxon	Insecta	include	TRUE
P46.1B_taxon	P46.1B	taxon	Insecta	include	TRUE
P46.2A_taxon	P46.2A	taxon	Insecta	include	TRUE
P46.2B_taxon	P46.2B	taxon	Insecta	include	TRUE
P47.1A_taxon	P47.1A	taxon	Insecta	include	TRUE
P47.1B_taxon	P47.1B	taxon	Insecta	include	TRUE
P47.2A_taxon	P47.2A	taxon	Insecta	include	TRUE
P47.2B_taxon	P47.2B	taxon	Insecta	include	TRUE
P203.1A_taxon	P203.1A	taxon	Insecta	include	TRUE
P203.1B_taxon	P203.1B	taxon	Insecta	include	TRUE
P48.1A_taxon	P48.1A	taxon	Insecta	include	TRUE
P48.1B_taxon	P48.1B	taxon	Insecta	include	TRUE
P203.2A_taxon	P203.2A	taxon	Insecta	include	TRUE
P203.2B_taxon	P203.2B	taxon	Insecta	include	TRUE
P48.2A_taxon	P48.2A	taxon	Insecta	include	TRUE
P48.2B_taxon	P48.2B	taxon	Insecta	include	TRUE
P273.1A_taxon	P273.1A	taxon	Insecta	include	TRUE
P273.1B_taxon	P273.1B	taxon	Insecta	include	TRUE
P49.1A_taxon	P49.1A	taxon	Insecta	include	TRUE
P49.1B_taxon	P49.1B	taxon	Insecta	include	TRUE
P273.2A_taxon	P273.2A	taxon	Insecta	include	TRUE
P273.2B_taxon	P273.2B	taxon	Insecta	include	TRUE
P49.2A_taxon	P49.2A	taxon	Insecta	include	TRUE
P49.2B_taxon	P49.2B	taxon	Insecta	include	TRUE
P327.1A_taxon	P327.1A	taxon	Insecta	include	TRUE
P327.1B_taxon	P327.1B	taxon	Insecta	include	TRUE
P50.1A_taxon	P50.1A	taxon	Insecta	include	TRUE
P50.1B_taxon	P50.1B	taxon	Insecta	include	TRUE
P50.2A_taxon	P50.2A	taxon	Insecta	include	TRUE
P50.2B_taxon	P50.2B	taxon	Insecta	include	TRUE
P292.1A_taxon	P292.1A	taxon	Insecta	include	TRUE
P292.1B_taxon	P292.1B	taxon	Insecta	include	TRUE
P51.1A_taxon	P51.1A	taxon	Insecta	include	TRUE
P51.1B_taxon	P51.1B	taxon	Insecta	include	TRUE
P292.2A_taxon	P292.2A	taxon	Insecta	include	TRUE
P292.2B_taxon	P292.2B	taxon	Insecta	include	TRUE
P51.2A_taxon	P51.2A	taxon	Insecta	include	TRUE
P51.2B_taxon	P51.2B	taxon	Insecta	include	TRUE
P52.1A_taxon	P52.1A	taxon	Insecta	include	TRUE
P52.1B_taxon	P52.1B	taxon	Insecta	include	TRUE
P308.2A_taxon	P308.2A	taxon	Insecta	include	TRUE
P308.2B_taxon	P308.2B	taxon	Insecta	include	TRUE
P52.2A_taxon	P52.2A	taxon	Insecta	include	TRUE
P52.2B_taxon	P52.2B	taxon	Insecta	include	TRUE
P263.1A_taxon	P263.1A	taxon	Insecta	include	TRUE
P263.1B_taxon	P263.1B	taxon	Insecta	include	TRUE
P54.1A_taxon	P54.1A	taxon	Insecta	include	TRUE
P54.1B_taxon	P54.1B	taxon	Insecta	include	TRUE
P54.2A_taxon	P54.2A	taxon	Insecta	include	TRUE
P54.2B_taxon	P54.2B	taxon	Insecta	include	TRUE
P55.1A_taxon	P55.1A	taxon	Insecta	include	TRUE
P55.1B_taxon	P55.1B	taxon	Insecta	include	TRUE
P55.2A_taxon	P55.2A	taxon	Insecta	include	TRUE
P55.2B_taxon	P55.2B	taxon	Insecta	include	TRUE
P57.1A_taxon	P57.1A	taxon	Insecta	include	TRUE
P57.1B_taxon	P57.1B	taxon	Insecta	include	TRUE
P57.2A_taxon	P57.2A	taxon	Insecta	include	TRUE
P57.2B_taxon	P57.2B	taxon	Insecta	include	TRUE
P58.1A_taxon	P58.1A	taxon	Insecta	include	TRUE
P58.1B_taxon	P58.1B	taxon	Insecta	include	TRUE
P58.2A_taxon	P58.2A	taxon	Insecta	include	TRUE
P58.2B_taxon	P58.2B	taxon	Insecta	include	TRUE
P331.1A_taxon	P331.1A	taxon	Insecta	include	TRUE
P331.1B_taxon	P331.1B	taxon	Insecta	include	TRUE
P59.1A_taxon	P59.1A	taxon	Insecta	include	TRUE
P59.1B_taxon	P59.1B	taxon	Insecta	include	TRUE
P59.2A_taxon	P59.2A	taxon	Insecta	include	TRUE
P59.2B_taxon	P59.2B	taxon	Insecta	include	TRUE
P286.1A_taxon	P286.1A	taxon	Insecta	include	TRUE
P286.1B_taxon	P286.1B	taxon	Insecta	include	TRUE
P60.1A_taxon	P60.1A	taxon	Insecta	include	TRUE
P60.1B_taxon	P60.1B	taxon	Insecta	include	TRUE
P286.2A_taxon	P286.2A	taxon	Insecta	include	TRUE
P286.2B_taxon	P286.2B	taxon	Insecta	include	TRUE
P60.2A_taxon	P60.2A	taxon	Insecta	include	TRUE
P60.2B_taxon	P60.2B	taxon	Insecta	include	TRUE
P61.1A_taxon	P61.1A	taxon	Insecta	include	TRUE
P61.1B_taxon	P61.1B	taxon	Insecta	include	TRUE
P61.2A_taxon	P61.2A	taxon	Insecta	include	TRUE
P61.2B_taxon	P61.2B	taxon	Insecta	include	TRUE
P63.1A_taxon	P63.1A	taxon	Insecta	include	TRUE
P63.1B_taxon	P63.1B	taxon	Insecta	include	TRUE
P63.2A_taxon	P63.2A	taxon	Insecta	include	TRUE
P63.2B_taxon	P63.2B	taxon	Insecta	include	TRUE
P281.1A_taxon	P281.1A	taxon	Insecta	include	TRUE
P281.1B_taxon	P281.1B	taxon	Insecta	include	TRUE
P64.1A_taxon	P64.1A	taxon	Insecta	include	TRUE
P64.1B_taxon	P64.1B	taxon	Insecta	include	TRUE
P64.2A_taxon	P64.2A	taxon	Insecta	include	TRUE
P64.2B_taxon	P64.2B	taxon	Insecta	include	TRUE
P280.1A_taxon	P280.1A	taxon	Insecta	include	TRUE
P280.1B_taxon	P280.1B	taxon	Insecta	include	TRUE
P65.1A_taxon	P65.1A	taxon	Insecta	include	TRUE
P65.1B_taxon	P65.1B	taxon	Insecta	include	TRUE
P280.2A_taxon	P280.2A	taxon	Insecta	include	TRUE
P280.2B_taxon	P280.2B	taxon	Insecta	include	TRUE
P65.2A_taxon	P65.2A	taxon	Insecta	include	TRUE
P65.2B_taxon	P65.2B	taxon	Insecta	include	TRUE
P281.2A_taxon	P281.2A	taxon	Insecta	include	TRUE
P281.2B_taxon	P281.2B	taxon	Insecta	include	TRUE
P66.1A_taxon	P66.1A	taxon	Insecta	include	TRUE
P66.1B_taxon	P66.1B	taxon	Insecta	include	TRUE
P66.2A_taxon	P66.2A	taxon	Insecta	include	TRUE
P66.2B_taxon	P66.2B	taxon	Insecta	include	TRUE
P340.1A_taxon	P340.1A	taxon	Insecta	include	TRUE
P340.1B_taxon	P340.1B	taxon	Insecta	include	TRUE
P67.1A_taxon	P67.1A	taxon	Insecta	include	TRUE
P67.1B_taxon	P67.1B	taxon	Insecta	include	TRUE
P67.2A_taxon	P67.2A	taxon	Insecta	include	TRUE
P67.2B_taxon	P67.2B	taxon	Insecta	include	TRUE
P68.1A_taxon	P68.1A	taxon	Insecta	include	TRUE
P68.1B_taxon	P68.1B	taxon	Insecta	include	TRUE
P68.2A_taxon	P68.2A	taxon	Insecta	include	TRUE
P68.2B_taxon	P68.2B	taxon	Insecta	include	TRUE
P323.2A_taxon	P323.2A	taxon	Insecta	include	TRUE
P323.2B_taxon	P323.2B	taxon	Insecta	include	TRUE
P69.1A_taxon	P69.1A	taxon	Insecta	include	TRUE
P69.1B_taxon	P69.1B	taxon	Insecta	include	TRUE
P268.1A_taxon	P268.1A	taxon	Insecta	include	TRUE
P268.1B_taxon	P268.1B	taxon	Insecta	include	TRUE
P69.2A_taxon	P69.2A	taxon	Insecta	include	TRUE
P69.2B_taxon	P69.2B	taxon	Insecta	include	TRUE
P272.1A_taxon	P272.1A	taxon	Insecta	include	TRUE
P272.1B_taxon	P272.1B	taxon	Insecta	include	TRUE
P70.2A_taxon	P70.2A	taxon	Insecta	include	TRUE
P70.2B_taxon	P70.2B	taxon	Insecta	include	TRUE
P328.1A_taxon	P328.1A	taxon	Insecta	include	TRUE
P328.1B_taxon	P328.1B	taxon	Insecta	include	TRUE
P72.1A_taxon	P72.1A	taxon	Insecta	include	TRUE
P72.1B_taxon	P72.1B	taxon	Insecta	include	TRUE
P328.2A_taxon	P328.2A	taxon	Insecta	include	TRUE
P328.2B_taxon	P328.2B	taxon	Insecta	include	TRUE
P72.2A_taxon	P72.2A	taxon	Insecta	include	TRUE
P72.2B_taxon	P72.2B	taxon	Insecta	include	TRUE
P73.1A_taxon	P73.1A	taxon	Insecta	include	TRUE
P73.1B_taxon	P73.1B	taxon	Insecta	include	TRUE
P73.2A_taxon	P73.2A	taxon	Insecta	include	TRUE
P73.2B_taxon	P73.2B	taxon	Insecta	include	TRUE
P282.1A_taxon	P282.1A	taxon	Insecta	include	TRUE
P282.1B_taxon	P282.1B	taxon	Insecta	include	TRUE
P74.1A_taxon	P74.1A	taxon	Insecta	include	TRUE
P74.1B_taxon	P74.1B	taxon	Insecta	include	TRUE
P282.2A_taxon	P282.2A	taxon	Insecta	include	TRUE
P282.2B_taxon	P282.2B	taxon	Insecta	include	TRUE
P74.2A_taxon	P74.2A	taxon	Insecta	include	TRUE
P74.2B_taxon	P74.2B	taxon	Insecta	include	TRUE
P289.1A_taxon	P289.1A	taxon	Insecta	include	TRUE
P289.1B_taxon	P289.1B	taxon	Insecta	include	TRUE
P76.1A_taxon	P76.1A	taxon	Insecta	include	TRUE
P76.1B_taxon	P76.1B	taxon	Insecta	include	TRUE
P289.2A_taxon	P289.2A	taxon	Insecta	include	TRUE
P289.2B_taxon	P289.2B	taxon	Insecta	include	TRUE
P76.2A_taxon	P76.2A	taxon	Insecta	include	TRUE
P76.2B_taxon	P76.2B	taxon	Insecta	include	TRUE
P77.1A_taxon	P77.1A	taxon	Insecta	include	TRUE
P77.1B_taxon	P77.1B	taxon	Insecta	include	TRUE
P77.2A_taxon	P77.2A	taxon	Insecta	include	TRUE
P77.2B_taxon	P77.2B	taxon	Insecta	include	TRUE
P290.1A_taxon	P290.1A	taxon	Insecta	include	TRUE
P290.1B_taxon	P290.1B	taxon	Insecta	include	TRUE
P78.1A_taxon	P78.1A	taxon	Insecta	include	TRUE
