"survey_fk"	"surveyTarget_fk"
"P23.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P228.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P228.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P24.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P24.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P228.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P228.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P24.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P24.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P25.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P25.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P279.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P279.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P25.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P25.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P279.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P279.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P26.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P26.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P311.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P311.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P26.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P26.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P311.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P311.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P214.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P214.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P27.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P27.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P214.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P214.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P27.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P27.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P28.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P28.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P28.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P28.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P236.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P236.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P29.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P29.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P236.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P236.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P29.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P29.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P275.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P275.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P30.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P30.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P275.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P275.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P30.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P30.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P31.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P31.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P31.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P31.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P234.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P234.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P32.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P32.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P32.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P32.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P33.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P33.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P33.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P33.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P233.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P233.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P34.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P34.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P233.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P233.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P34.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P34.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P250.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P250.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P35.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P35.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P250.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P250.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P35.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P35.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P36.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P36.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P36.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P36.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P213.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P213.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P37.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P37.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P213.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P213.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P37.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P37.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P204.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P204.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P38.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P38.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P204.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P204.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P38.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P38.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P309.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P309.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P39.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P39.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P39.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P39.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P299.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P299.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P40.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P40.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P299.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P299.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P40.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P40.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P288.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P288.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P41.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P41.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P41.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P41.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P42.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P42.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P212.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P212.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P42.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P42.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P291.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P291.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P43.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P43.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P291.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P291.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P43.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P43.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P44.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P44.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P44.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P44.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P45.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P45.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P46.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P46.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P46.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P46.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P47.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P47.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P47.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P47.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P203.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P203.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P48.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P48.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P203.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P203.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P48.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P48.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P273.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P273.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P49.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P49.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P273.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P273.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P49.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P49.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P327.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P327.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P50.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P50.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P50.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P50.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P292.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P292.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P51.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P51.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P292.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P292.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P51.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P51.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P52.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P52.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P308.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P308.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P52.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P52.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P263.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P263.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P54.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P54.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P54.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P54.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P55.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P55.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P55.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P55.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P57.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P57.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P57.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P57.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P58.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P58.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P58.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P58.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P331.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P331.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P59.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P59.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P59.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P59.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P286.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P286.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P60.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P60.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P286.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P286.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P60.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P60.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P61.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P61.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P61.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P61.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P63.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P63.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P63.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P63.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P281.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P281.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
