"mediaID"	"mediaType"	"accessURI"	"format"	"license"	"owner"	"description"	"media_pk"
"P1.1BS_00L08S_07S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P1.1BS_wet_2018_00L08S_07S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P1.1BS_00L08S_07S"
"P1.1BS_00L08S_08S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P1.1BS_wet_2018_00L08S_08S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P1.1BS_00L08S_08S"
"P10.2AL_01L11S_01L"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AL_wet_2018_01L11S_01L.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AL_01L11S_01L"
"P10.2AS_01L11S_01S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AS_wet_2018_01L11S_01S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AS_01L11S_01S"
"P10.2AS_01L11S_02S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AS_wet_2018_01L11S_02S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AS_01L11S_02S"
"P10.2AS_01L11S_03S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AS_wet_2018_01L11S_03S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AS_01L11S_03S"
"P10.2AS_01L11S_04S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AS_wet_2018_01L11S_04S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AS_01L11S_04S"
"P10.2AS_01L11S_05S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AS_wet_2018_01L11S_05S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AS_01L11S_05S"
"P10.2AS_01L11S_06S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AS_wet_2018_01L11S_06S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AS_01L11S_06S"
"P10.2AS_01L11S_07S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AS_wet_2018_01L11S_07S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AS_01L11S_07S"
"P10.2AS_01L11S_08S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AS_wet_2018_01L11S_08S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AS_01L11S_08S"
"P10.2AS_01L11S_09S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AS_wet_2018_01L11S_09S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AS_01L11S_09S"
"P10.2AS_01L11S_10S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AS_wet_2018_01L11S_10S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AS_01L11S_10S"
"P10.2AS_01L11S_11S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2AS_wet_2018_01L11S_11S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2AS_01L11S_11S"
"P10.2BL_01L15S_01L"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BL_wet_2018_01L15S_01L.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BL_01L15S_01L"
"P10.2BS_01L15S_01S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_01S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_01S"
"P10.2BS_01L15S_02S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_02S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_02S"
"P10.2BS_01L15S_03S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_03S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_03S"
"P10.2BS_01L15S_04S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_04S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_04S"
"P10.2BS_01L15S_05S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_05S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_05S"
"P10.2BS_01L15S_06S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_06S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_06S"
"P10.2BS_01L15S_07S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_07S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_07S"
"P10.2BS_01L15S_08S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_08S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_08S"
"P10.2BS_01L15S_09S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_09S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_09S"
"P10.2BS_01L15S_10S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_10S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_10S"
"P10.2BS_01L15S_11S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_11S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_11S"
"P10.2BS_01L15S_12S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_12S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_12S"
"P10.2BS_01L15S_13S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_13S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_13S"
"P10.2BS_01L15S_14S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_14S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_14S"
"P10.2BS_01L15S_15S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P10.2BS_wet_2018_01L15S_15S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P10.2BS_01L15S_15S"
"P100.1AL_01L07S_01L"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1AL_wet_2018_01L07S_01L.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1AL_01L07S_01L"
"P100.1AS_01L07S_01S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1AS_wet_2018_01L07S_01S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1AS_01L07S_01S"
"P100.1AS_01L07S_02S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1AS_wet_2018_01L07S_02S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1AS_01L07S_02S"
"P100.1AS_01L07S_03S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1AS_wet_2018_01L07S_03S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1AS_01L07S_03S"
"P100.1AS_01L07S_04S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1AS_wet_2018_01L07S_04S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1AS_01L07S_04S"
"P100.1AS_01L07S_05S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1AS_wet_2018_01L07S_05S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1AS_01L07S_05S"
"P100.1AS_01L07S_06S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1AS_wet_2018_01L07S_06S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1AS_01L07S_06S"
"P100.1AS_01L07S_07S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1AS_wet_2018_01L07S_07S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1AS_01L07S_07S"
"P100.1BS_00L32S_01S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_01S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_01S"
"P100.1BS_00L32S_02S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_02S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_02S"
"P100.1BS_00L32S_03S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_03S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_03S"
"P100.1BS_00L32S_04S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_04S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_04S"
"P100.1BS_00L32S_05S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_05S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_05S"
"P100.1BS_00L32S_06S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_06S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_06S"
"P100.1BS_00L32S_07S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_07S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_07S"
"P100.1BS_00L32S_08S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_08S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_08S"
"P100.1BS_00L32S_09S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_09S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_09S"
"P100.1BS_00L32S_10S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_10S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_10S"
"P100.1BS_00L32S_11S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_11S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_11S"
"P100.1BS_00L32S_12S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_12S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_12S"
"P100.1BS_00L32S_13S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_13S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_13S"
"P100.1BS_00L32S_14S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_14S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_14S"
"P100.1BS_00L32S_15S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_15S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_15S"
"P100.1BS_00L32S_16S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_16S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_16S"
"P100.1BS_00L32S_17S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_17S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_17S"
"P100.1BS_00L32S_18S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_18S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_18S"
"P100.1BS_00L32S_19S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_19S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_19S"
"P100.1BS_00L32S_20S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_20S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_20S"
"P100.1BS_00L32S_21S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_21S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_21S"
"P100.1BS_00L32S_22S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_22S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_22S"
"P100.1BS_00L32S_23S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_23S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_23S"
"P100.1BS_00L32S_24S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_24S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_24S"
"P100.1BS_00L32S_25S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_25S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_25S"
"P100.1BS_00L32S_26S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_26S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_26S"
"P100.1BS_00L32S_27S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_27S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_27S"
"P100.1BS_00L32S_28S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_28S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_28S"
"P100.1BS_00L32S_29S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_29S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_29S"
"P100.1BS_00L32S_30S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_30S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_30S"
"P100.1BS_00L32S_31S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_31S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_31S"
"P100.1BS_00L32S_32S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P100.1BS_wet_2018_00L32S_32S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P100.1BS_00L32S_32S"
"P102.2AL_01L15S_01L"	"StillImage"	"https://media.danbif.dk/media/insektmobil/P102.2AL_agriculture_2018_01L15S_01L.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"	"P102.2AL_01L15S_01L"
