identification_id	material_entity_id	media_id	nucleotide_analysis_id	nucleotide_sequence_id	occurrence_id	organism_id	verbatim_identification	is_accepted_identification	taxon_formula	type_status	type_designation_type	identified_by	identified_by_id	date_identified	identification_references	taxon_assignment_method	identification_verification_status	identification_remarks	taxon_id	scientific_name_id	geo_classification_code	geo_name	scientific_name	scientific_name_authorship	vernacular_name	taxon_rank	external_classification_source	kingdom	phylum	class	order	family	subfamily	genus	generic_name	subgenus	infrageneric_epithet	specific_epithet	infraspecific_epithet	cultivar_epithet	name_according_to	nomenclatural_code	nomenclatural_status	name_published_in	name_published_in_year	taxon_remarks	feedback_url
89467d25-dc46-469f-b9c9-736f896d4d35		https://inaturalist-open-data.s3.amazonaws.com/photos/31206832/medium.jpg					San Clemente Island triteleia	true	A				266196	2019-02-08 22:21:35 UTC									Triteleia clementina		San Clemente Island triteleia			Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Brodiaeoideae	Triteleia	Triteleia												
918ecebf-1e99-40d5-b7bf-2601cb0a3511		https://inaturalist-open-data.s3.amazonaws.com/photos/32659906/medium.jpg					Allen's Hummingbird	true	A				1520013	2019-03-11 00:10:15 UTC									Selasphorus sasin		Allen's Hummingbird			Animalia	Chordata	Aves	Apodiformes	Trochilidae	Trochilinae	Selasphorus	Selasphorus												
6bb6a373-462a-46bf-b388-320f2bd833a0		https://inaturalist-open-data.s3.amazonaws.com/photos/32820278/medium.jpeg					island senecio	true	A			Casey H. Richart	34488	2019-03-14 15:15:18 UTC									Senecio lyonii		island senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Senecio	Senecio												
73d4336e-4c38-454c-bc83-a5cb05abd519		https://inaturalist-open-data.s3.amazonaws.com/photos/32820282/medium.jpeg					island senecio	true	A			Casey H. Richart	34488	2019-03-14 15:15:28 UTC									Senecio lyonii		island senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Senecio	Senecio												
b043170a-28d3-429c-93de-40e5b0effd87		https://inaturalist-open-data.s3.amazonaws.com/photos/32820474/medium.jpeg					Yellow-spotted Bromeliad Fly	true	A			Casey H. Richart	34488	2019-03-14 15:20:13 UTC									Copestylum avidum		Yellow-spotted Bromeliad Fly			Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
00805955-8060-4094-8e04-3a9fc975def1		https://inaturalist-open-data.s3.amazonaws.com/photos/32820532/medium.jpeg					California brittlebush	true	A			Casey H. Richart	34488	2019-03-14 15:22:14 UTC									Encelia californica		California brittlebush			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Encelia	Encelia												
b330a9d8-5945-40d3-9e44-5c45b69a4069		https://inaturalist-open-data.s3.amazonaws.com/photos/32820607/medium.jpg					Copestylum lentum	true	A			Casey H. Richart	34488	2019-03-14 15:25:18 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
404df053-1662-418e-a6e5-42475d03f220		https://inaturalist-open-data.s3.amazonaws.com/photos/32821116/medium.jpeg					Sharp-toothed Sanicle	true	A			Casey H. Richart	34488	2019-03-14 15:37:42 UTC									Sanicula arguta		Sharp-toothed Sanicle			Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Saniculoideae	Sanicula	Sanicula												
0615a0c8-9165-4e51-acd8-d8d0a54ee095		https://inaturalist-open-data.s3.amazonaws.com/photos/32821244/medium.jpeg					Sharp-toothed Sanicle	true	A			Casey H. Richart	34488	2019-03-14 15:41:00 UTC									Sanicula arguta		Sharp-toothed Sanicle			Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Saniculoideae	Sanicula	Sanicula												
8dd8e5de-21ba-452f-9fb8-adbcdb032154		https://inaturalist-open-data.s3.amazonaws.com/photos/32821348/medium.jpeg					Sharp-toothed Sanicle	true	A			Casey H. Richart	34488	2019-03-14 15:44:02 UTC									Sanicula arguta		Sharp-toothed Sanicle			Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Saniculoideae	Sanicula	Sanicula												
