provenance_id	dataset_id	funding_attribution	funding_attribution_id	source	source_iri	creator_literal	creator_id	provider_literal	provider_id	metadata_creator_literal	metadata_creator_id	metadata_provider_literal	metadata_provider_id	further_information_url	feedback_url	references	bibliographic_citation	project_id	project_title
a626d6d7-bfa2-4258-9e5f-36077d51480a				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
9f00f3c7-0adf-4c17-aaa7-96672c2ebc13				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
86e79f62-2763-46da-9381-691fe9283871				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
e47f581d-98cf-4b1a-8df0-cfb534c48cbe				https://www.inaturalist.org/photos/33820500		Jenny Hazlehurst	513070											18530	California Pollination Project
4013440e-5c6b-40c6-be5d-c9284bab1f06				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
5e291ecb-5601-42a8-af66-97c779c19ac7				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
c83a3656-2f19-430a-85c9-022d14e8f9d4				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
5708b445-866a-405a-a18c-06b5abc11c01				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
a2d478f7-50e1-4b47-ade9-072d140257fd				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
09aa9bc2-058e-4afd-9683-1ca736f743a3				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
123865c2-d357-4c85-8cb9-9ed0c78c0a01				https://www.inaturalist.org/photos/33820500		Jenny Hazlehurst	513070											18530	California Pollination Project
5922c141-e3fc-4500-bffc-dd5d937fe096				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
07e573da-eddf-46fc-a167-53585f12624d				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
733785ec-55b7-4674-85b7-5fe4ecb703e1				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
6961eb85-97d2-4511-acf5-be907aee2f3a				https://www.inaturalist.org/photos/33820500			497764											18530	California Pollination Project
8f4b8ba2-6f86-4ddc-933e-5882ada9b583				https://www.inaturalist.org/photos/33820500		Nancy Hamlett	522768											18530	California Pollination Project
6a361d96-e43e-47f7-ad9d-f1f76c448cc3				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
ef4069ed-aa76-4ced-b47e-0c10ac0acdba				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
147e203a-2773-46c5-807b-eff4f2f6e90d				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
50db5afc-bcb9-4553-8782-17263240ee5c				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
027b1d96-739f-4c5c-b0a8-20d3fb7b0f98				https://www.inaturalist.org/photos/33820500		David Kaposi	109975											18530	California Pollination Project
db833bec-9246-4586-8d1a-8fab3769ad3c				https://www.inaturalist.org/photos/33820500		Cedric Lee	12809											18530	California Pollination Project
bc4b54a3-2fbc-4988-b5b7-7c111db7f3ae				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
a059a47a-50f4-4260-890e-3cacee208bd5				https://www.inaturalist.org/photos/33820500			5000772											18530	California Pollination Project
6418ba7f-1c9b-459c-9d2e-9ae208d9465f				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
995565e5-0a2f-44d3-99ba-f21bd93f4062				https://www.inaturalist.org/photos/33820500		Katherine Hadary	1424366											18530	California Pollination Project
3bfe35f4-c751-448f-8438-21f9bcc9fafd				https://www.inaturalist.org/photos/33820500		The Hog Potato	164822											18530	California Pollination Project
2062f0b4-c8c4-433e-a099-fdf23e4c33ac				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
17a6962f-eb3a-4572-876b-8e734c3ac137				https://www.inaturalist.org/photos/33820500			5000772											18530	California Pollination Project
dc932881-377f-47a2-8510-a8b3cb640e83				https://www.inaturalist.org/photos/33820500		Andrea Kreuzhage	828394											18530	California Pollination Project
43d05f38-45b4-4173-8f7b-e40d35476778				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
c791400f-94ea-49c4-8c7f-a2b90edb27e4				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
5a2009e6-4b10-412f-9da3-fd47a8f6a5a1				https://www.inaturalist.org/photos/33820500		Jenny Hazlehurst	513070											18530	California Pollination Project
11a94df3-b89d-440c-9507-a3ac1ab4f6ab				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
5958acfe-becb-461c-ab7b-b9ed4b3b489a				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
7c3435ca-e2ec-4ac0-851c-47b39e8f7c1e				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
cdb06747-282b-4adb-ba9d-46f8794037e3				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
c3b353ce-807f-47ed-9183-6fe2d35529aa				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
de778c74-c5f2-43aa-8e74-0f7a1f440ed6				https://www.inaturalist.org/photos/33820500		Jenny Hazlehurst	513070											18530	California Pollination Project
f6b68c36-eaf4-4546-93b5-d8e8ad4d505e				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
fad8bb83-de21-4edb-90ed-cb4ed2d4c28f				https://www.inaturalist.org/photos/33820500			5000772											18530	California Pollination Project
b8bae102-7421-478d-af17-32253c777355				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
662838d7-56d7-4fbf-9e6c-08c61505c693				https://www.inaturalist.org/photos/33820500			497764											18530	California Pollination Project
da186ce7-8534-4591-a7d8-28963d4ae706				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
c40fef86-cccd-4c3b-834b-bfb198dd9c9e				https://www.inaturalist.org/photos/33820500		David Kaposi	109975											18530	California Pollination Project
be001fa5-dc8e-459c-a8d3-bb73f0cfb367				https://www.inaturalist.org/photos/33820500			23091											18530	California Pollination Project
70ad9cb0-35b3-4239-ae85-add2e0f97162				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
4809325d-99a4-481d-a56a-701d91c1befd				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
578bd2bf-c0f9-4cb8-a799-7e4dfde77f1d				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
cdbf79ba-5c59-4a5a-8815-291d1d9d046f				https://www.inaturalist.org/photos/33820500			23091											18530	California Pollination Project
dc7de110-892e-4a31-a9b4-049b9b7eb73d				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
4b034363-569a-4808-9612-d940a30f2c93				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
f35ae7f3-1626-459e-a0b1-c728a44d1e98				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
c582800b-fcdd-452d-a096-e74a64d7dd94				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
1d3f1abb-d290-4495-a1f1-e0e0bb14fd81				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
7a4ba5ad-7c58-4e9f-b6ed-068fa4d5dae9				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
c54e5629-8bb0-45bc-811e-046aca40c11b				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
772f353a-2fcd-4502-945b-c25d7960ff63				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
0cead206-15e6-4d0d-8e6b-a9fca451b6c4				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
b132ffb9-0e9a-4506-812a-af4719dc5552				https://www.inaturalist.org/photos/33820500		Demi Eslava	1577275											18530	California Pollination Project
885dd5c0-4c54-4cc1-8cb3-b5b4d0032a21				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
2fbb394b-f9a1-44c8-a672-43ae32031386				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
e3ac75d4-8b43-43c2-8518-5e63a495e7b5				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
0e4b1eb6-2861-4243-9eb7-4e28a8a48fb6				https://www.inaturalist.org/photos/33820500		Stephanie Calloway	195291											18530	California Pollination Project
a11ece33-9302-4cf8-a288-6a454d28acda				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
955baf00-e3c8-4460-bb25-434227259a40				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
282e9ece-4e43-488e-ba7f-61551ff01028				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
8c648586-b3e1-4337-b9bd-1224e8d782fd				https://www.inaturalist.org/photos/33820500			23091											18530	California Pollination Project
ca3575dd-5f74-49cf-ad55-8af1265351a7				https://www.inaturalist.org/photos/33820500			5000772											18530	California Pollination Project
11acaf3b-3cc6-4948-8367-b967cddd0cca				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
ec661174-2cef-4a3a-815d-e54251251745				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
7e398ef8-71c2-4c7a-96d7-f2ebd7679cbf				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
96e0af03-7981-4311-95a9-3a593f20c5fb				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
d82c7438-fc98-4846-8890-17685442b7f0				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
eca81cfd-efb3-4f3b-8c68-663a8ca28c77				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
0d3e7704-d0a3-449b-a069-6bd1391dfa38				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
fd6bbdcd-3721-40eb-bff3-eeb56d5424d2				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
3ad1529a-c28a-43c9-9d3c-fdbc4de50964				https://www.inaturalist.org/photos/33820500		Stephanie Calloway	195291											18530	California Pollination Project
b87bf829-f443-4f8d-b536-e01db0f0f2c0				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
d710e63d-17cc-4deb-9a25-c6ee76855896				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
78e3fe8f-4ac4-4c3c-b531-70628b628fb9				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
74131822-76b1-4a4e-b93d-8433f8221065				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
870e2e42-b974-4c6e-9be6-7cb3240993c7				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
6179df0a-e6da-4c66-91f0-b9641045d32f				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
643182fa-aba8-4418-aff6-9943f66441a0				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
9d9e31b7-d15c-487e-9d3f-1fd3a6f1161a				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
981d291e-4960-42c7-bdbc-0e25e4630510				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
479b29a1-c3c2-4773-845f-6db944486a8c				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
a5d551bd-8643-4783-824d-7c605d53e7dc				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
ff2b2e22-e6c8-4e45-a5ed-35e22b90d40a				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
e0d7ec61-d493-4be1-8a8b-8f1293f14eec				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
a90df09e-aab7-4243-8d88-81e36cab8213				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
12e5e0d4-af3f-401e-9a25-592c63cfb2e0				https://www.inaturalist.org/photos/33820500		Andrea Kreuzhage	828394											18530	California Pollination Project
7d417441-fd5a-4584-82c0-634534385760				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
de259f5b-9d03-4fb7-8cf2-f876a2565bf5				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
fffe77cd-84e0-4934-a61b-d9cbe45255bc				https://www.inaturalist.org/photos/33820500			497764											18530	California Pollination Project
2d84d2c3-6c4d-46db-b922-6cbd647375ce				https://www.inaturalist.org/photos/33820500		Jesse Rorabaugh	52839											18530	California Pollination Project
c31d6d10-8028-4ce1-9782-bb1aaa0a57f4				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
bfbd0612-90a2-4336-92f2-a8a130fb0e32				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
515b8ec0-ab8c-4d9e-99b8-d9577a46646a				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
ae0d32a1-990f-4bf0-9920-91eee8c54ce8				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
2d622d47-10c3-448c-a07b-feb7e4a05057				https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											18530	California Pollination Project
54ef2035-82d7-46fa-9513-7bfff7f54b2b				https://www.inaturalist.org/photos/33820500		LSchare (she/her)	81779											18530	California Pollination Project
