"accessRights","attributionLinkURL","attributionLogoURL","credit","license","licenseLogoURL","licensingException","owner","ownerID","rights","rightsHolder","rightsHolderID","rightsIRI","usagePolicyID","usageTerms","webStatement"
"","","","","CC0 1.0","","","","","","Naturalis Biodiversity Center","","","808cd582f6925e3d2842d4f3d3623edc","",""
"","","","","","","","","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","","","","62623f92fa33b432e3d7c136db2fd301","",""
