"associatedSequences","catalogNumber","collectedBy","collectedByID","collectionCode","collectionID","collectorNumber","dataGeneralizations","dateIdentified","derivationEventID","derivationType","derivedFromMaterialEntityID","digitalSpecimenID","discipline","disposition","eventID","evidenceForOccurrenceID","externalClassificationSource","feedbackURL","geoClassificationCode","geoName","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","informationWithheld","institutionCode","institutionID","isPartOfMaterialEntityID","materialCategory","materialEntityID","materialEntityRemarks","materialEntityType","materialReferences","objectQuantity","objectQuantityType","otherCatalogNumbers","ownerInstitutionCode","ownerInstitutionID","preparations","scientificName","scientificNameAuthorship","scientificNameID","taxonID","taxonRank","typeDesignationType","typeStatus","typifiedName","verbatimIdentification","verbatimLabel","vernacularName"
"","RMNH.AVES.55236","","","","","","","","","","","https://doi.org/TEST/ZZN-TFW-5A2","Zoology","","4aa46a356e815b6522d70aa76898b4ef","","","https://doi.org/TEST/ZZN-TFW-5A2","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.55236","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.39356","","","","","","","","","","","https://doi.org/TEST/ZZN-Q7Q-ACJ","Zoology","","0bca063051b0c3c486cad57dfd7885b8","","","https://doi.org/TEST/ZZN-Q7Q-ACJ","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.39356","","","","","","","","","skin (part) (flat skin)","","","","","","","","","","",""
"","RMNH.AVES.216677","","","","","","","","","","","https://doi.org/TEST/ZZN-GRT-G68","Zoology","","f7f38967e0b598f5c03900a2e67890e9","","","https://doi.org/TEST/ZZN-GRT-G68","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.216677","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.28242","","","","","","","","","","","https://doi.org/TEST/ZZN-473-62Q","Zoology","","e8b487c5736876fc268553e033dcc774","","","https://doi.org/TEST/ZZN-473-62Q","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.28242","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","RMNH.AVES.24254","","","","","","","","","","","https://doi.org/TEST/ZZN-1F4-DEJ","Zoology","","c8618f539c26700bcebb01dd3f0c2381","","","https://doi.org/TEST/ZZN-1F4-DEJ","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.24254","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","ZMA.AVES.64480","","","","","","","","","","","https://doi.org/TEST/ZZN-07E-E9M","Zoology","","cb3ff2a0a627e05aeec0f0cedad11474","","","https://doi.org/TEST/ZZN-07E-E9M","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.64480","","","","","","","","","feather","","","","","","","","","","",""
"","RMNH.AVES.23934","","","","","","","","","","","https://doi.org/TEST/ZZM-ZY9-PT6","Zoology","","1bfa23a73af2e711e8d8196c9e7e6127","","","https://doi.org/TEST/ZZM-ZY9-PT6","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.23934","","","","","","","","","nest","","","","","","","","","","",""
"","ZMA.AVES.4560","","","","","","","","","","","https://doi.org/TEST/ZZM-NWY-TMD","Zoology","","e49249c5b9f7a183b7b30e45c12935b7","","","https://doi.org/TEST/ZZM-NWY-TMD","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.4560","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.100878","","","","","","","","","","","https://doi.org/TEST/ZZM-FYK-593","Zoology","","31cbb3b63ff3c910cb3cd93561ec4bf0","","","https://doi.org/TEST/ZZM-FYK-593","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.100878","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.89301","","","","","","","","","","","https://doi.org/TEST/ZZM-FC7-1GR","Zoology","","36792f1ac96137e72d4ce7eea8b34281","","","https://doi.org/TEST/ZZM-FC7-1GR","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.89301","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","ZMA.AVES.35006","","","","","","","","","","","https://doi.org/TEST/ZZM-C1X-N82","Zoology","","70664b1c36991de268ac7a3cf45c024e","","","https://doi.org/TEST/ZZM-C1X-N82","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.35006","","","","","","","","","Wing (study skin)","","","","","","","","","","",""
"","RMNH.AVES.18560","","","","","","","","","","","https://doi.org/TEST/ZZM-9GC-6DH","Zoology","","eb780d0b40012898f8ca773c4c0bc343","","","https://doi.org/TEST/ZZM-9GC-6DH","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.18560","","","","","","","","","skin (air dried)","","","","","","","","","","",""
