"continent","coordinatePrecision","coordinateUncertaintyInMeters","country","countryCode","county","datasetID","datasetName","day","decimalLatitude","decimalLongitude","endDayOfYear","eventCategory","eventConductedBy","eventConductedByID","eventDate","eventEffort","eventID","eventReferences","eventRemarks","eventTime","eventType","fieldNotes","fieldNumber","footprintSpatialFit","footprintSRS","footprintWKT","geodeticDatum","georeferencedBy","georeferencedByID","georeferencedDate","georeferenceProtocol","georeferenceProtocolID","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherGeography","higherGeographyID","island","islandGroup","locality","locationID","locationRemarks","maximumDepthInMeters","maximumDistanceAboveSurfaceInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumDistanceAboveSurfaceInMeters","minimumElevationInMeters","month","municipality","parentEventID","pointRadiusSpatialFit","preferredEventName","preferredSpatialRepresentation","siteNumber","startDayOfYear","stateProvince","verbatimCoordinates","verbatimCoordinateSystem","verbatimDepth","verbatimElevation","verbatimEventDate","verbatimLatitude","verbatimLocality","verbatimLongitude","verbatimSRS","verticalDatum","waterBody","year"
"","","","Suriname","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1900-03-28","","ba2507138746e223ab5ddbe51e711f25","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Suriname, no further locality","","","","","","","","","","","","","","","","","","","","","","28/3/1900","","","","","","",""
"","","","USA","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1895-03-11","","8585d7ebeb7fa05c7a92ac4d4ebd2067","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","California, no further locality","","","","","","","","","","","","","","","","","California","","","","","11-3-1895","","","","","","",""
"","","","Turkestan","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1905-08-20","","a3c860bbf04dd9d2540bdcc598d80ce0","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Karakolskoje Schlucht","","","","","","","","","","","","","","","","","","","","","","20-08-1905","","","","","","",""
"","","","Suriname","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1972-10-09","","a92ed385f9f43ac2d974e6b208a7b6ce","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Tafelberg","","","","","","","","","","","","","","","","","","","","","","09-10-1972","","","","","","",""
"","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","4aa46a356e815b6522d70aa76898b4ef","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1908-09-21","","84d26f144f49a7cd2418c93826ba185c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Java","","Moeara Karang, Batavia","","","","","","","","","","","","","","","","","","","","","","21-09-1908","","","","","","",""
"","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","cea4cf27ac50245fdef43357910b7672","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","sine loco [N South America]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1974-05-01","","41b0a279b1814fb3daa841433de2b04c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Texel","","lighthouse Eijerland","","","","","","","","","","","","","","","","","North Holland","","","","","1-5-1974","","","","","","",""
"","","","Suriname","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1964-02-13","","94b1db78125921737206e171c043a0c7","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Peperpot","","","","","","","","","","","","","","","","","Suriname Rivier","","","","","13-02-1964","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1911-09-22","","173cb4dfbdd679e9c5ddfa3afdbf7779","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Texel","","","","","","","","","","","","","","","","","","","","","","","","22-09-1911","","","","","","",""
"","","","Russia (European)","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1931-06-07","","99703eb567edc134d489d6e52c9dedd6","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Salmiyarvi, Pechenga area","","","","","","","","","","","","","","","","","Murmansk","","","","","7/6/1931","","","","","","",""
"","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","abf6408fedf216db9ab5c6078349112c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hindoestan","","","","","","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1922-08-11","","bb52bd5629c2917dfaa2a1671e3e776d","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Java","","","","","","","","","","","","","","","","","","","Pangerango","","","","","11-08-1922","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1977-07-07","","404d8eefc0862b7d00330e23f90bc8a9","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Hoofddorp, boomgaard","","","","","","","","","","","","","","","","","North Holland","","","","","7/7/1977","","","","","","",""
"","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1925-05-10","","31828be4c843d60b530b97310d656e02","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Siberië, Tomsk","","","","","10-05-1925","","","","","","",""
"","","","Suriname","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1903-02-21","","7a77831ca3dee876c763396b45505ea8","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Suriname, no further locality","","","","","","","","","","","","","","","","","","","","","","21/2/1903","","","","","","",""
"","","","Rhodesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1964-10-28","","339bbc1975ad00872d59f1a0f528dc4d","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inyanga Nat. Park, bos boven Pungwe Ravijn","","","","1800 m","","","","","","","",""
