"agentID","agentRemarks","agentType","preferredAgentName"
"62f3819b6cd95d91fcaed0f7554061c4","","schema:Person","Cuming"
"cbd305777e8d6dab37e3ef30de5abc8d","","schema:Person","Osieck E.R."
"1bfa35b8eb71f2c7eff1e29b8dd0a0cb","","schema:Person","Bettinger C."
"2fdc73a4d3cc5b5337c55a11cbb0c645","","schema:Person","Verheijen J.A.J."
"0a3076c78c9f7e5dfd7bb0edacd3ea75","","schema:Person","Yamamoto A."
"ec40c148e1f1ee6e72330f7b4fe9c374","","schema:Person","Wickevoort Crommelin J.P. van"
"828999d3b38f6a3a5e37298365799cf0","","schema:Person","Natterer J."
"584482f046e45aac4092f8aeb5bbaed3","","schema:Person","Bayer J."
"8e363c98b3773e93d4c70a0ffd450f9c","","schema:Person","Renssen Th.A."
"39f16055e5a018e31a72400db4e8839f","","schema:Person","Jonkers Th.A."
"8d3b29ab2cb3a30fcd74870ac32cb306","","schema:Person","Van Musschenbroek S.C.J.W."
"fad88cfa841ac6c44a95da6082d9dfd1","","schema:Person","Roeleveld"
"b2f610aacd5cb0f97e30b2c8d37b3f88","","schema:Person","Pieters A.L."
"07784cd93a1d81aab707ba513045db02","","schema:Person","Van Eck H.M."
"8781fc9984bace7d555de834c84b16ae","","schema:Person","Voous K.H.; Rooselaar C."
"df3c8a8acfa8ae944593e1ade055af9d","","schema:Person","De Vries P.G."
"a3d178f0cc479e938f4f27f6e3aa3c6c","","schema:Person","Smulders A."
"052227afadfb924d0293d92c8a8c0d29","","schema:Person","Hinloopen A.A."
"3523fbc20c5ac576df9fad86cff91345","","schema:Person","Schiebel G."
"b3448d1f11fa220f523818b0326eece6","","schema:Person","Olalla brothers; Spillmann F."
"5aea118e0132c698a8d2bba2f18bcbf8","","schema:Person","Nieuwenhuis A.W."
"428c2aacac2a12515e7cc4e3edce2ce7","","schema:Person","Verheijen J.A.J. On original label:\ncoll. J. Verheijen"
"4aff1a63e90f716ba5f60e672298c297","","schema:Person","Croockerwit J.H."
"faa42ca5c0f3fefff4ac11f4a17e6929","","schema:Person","Vorderman A.G."
"6f69ad78e57671eca3c2b6b2802d1079","","schema:Person","Büttikofer J."
"aa3d093c8e04cf19ccdca8f7d748ba38","","schema:Person","Rosenberg C.B.H. von"
"b8af294edd99c16618e8d418b4f0cdd4","","schema:Person","Moerman M."
"7266b1b6f741ae3211e32a68f6fb000a","","schema:Person","Dooren B. van"
"ae40535a744a784694fc4c4d91485dd7","","schema:Person","Not stated S. Briceño Gabaldon"
"0d6af0efb076adbc069951ab54de69d4","","schema:Person","sons"
"81a6ec519a90db5fe3fdc108d99fcf1d","","schema:Person","Bartels jr M."
"6f6af00e19d395e08be64d21d9feb277","","schema:Person","E. Bartels"
"f324e99e8be753672a42b9b4e8c65a56","","schema:Person","Van Eindhoven"
"c6d7e00ecf9eb2f9ab4c2494af1933fa","","schema:Person","Bartlett"
"48543695a393d72e13677105d3796cdd","","schema:Person","Hoogerwerf A."
"618f7eddddc7fb4f1e927c3dbc62fc4b","","schema:Person","De Beaufort L.F."
"ae62492a22d27c7ca40031368bbb3975","","schema:Person","Breek K."
"819573e88887c41dc078838f7e3e7599","","schema:Person","Bartels H."
"a322f4b3566a4b12f5566c47f73a807d","","schema:Person","Rüppell W.P.E.S."
"56406b7ebbccb33f6a1a755ab7b5e01d","","schema:Person","Evers E."
"7421b43a750efc7c5aeeaa712261762d","","schema:Person","von Rosenberg C.B.H."
"dfa7edeacb64b3acdce66df8682bf932","","schema:Person","Nieuwenhuis"
"96621da2a1edb315b9095b29a24ffea8","","schema:Person","J. ter Meulen"
"8675a8a42c4c09923dec42d259e1f91e","","schema:Person","Verbeek F.A.Th.H."
"f37da46e31899a7005c455eecdf94fb1","","schema:Person","Siebers H.C."
"f7e27538591a88a8b535c0118135c212","","schema:Person","Faber F. von"
"56063da09ab708dbcffcab53d1d898bc","","schema:Person","Houtman J."
"2b786adeb6abc7a30d41c1d305d778a1","","schema:Person","Lorentz H.A."
"bc3bb46c2e8644f29edef528b339c4e6","","schema:Person","Mol J.W."
"e65b0dbd6c692d9da73dea049e762a64","","schema:Person","Schädler K."
"e51b83b8acddf15bca6058155a5bfde8","","schema:Person","Baggelaar J.C."
"83e9de963777e4f16e5c75f7b25cddb7","","schema:Person","Pater Verheijen J.A.J."
"375f69fceeb8921f03e242b768057b5e","","schema:Person","Van Steyn (Apeldoorn)"
"86b1376ec5918025e3f2601bc9e78553","","schema:Person","Wagenvoort C.A."
"fea8f41681c7e0665c9e97107d8d069c","","schema:Person","Eerland J.C."
"6d2899d12f880146c4cc63b4a738ac43","","schema:Person","Bangert C."
"a42d56864a17dfb166a1b07931b67d9a","","schema:Person","Sody H.J.V."
"27f2d064d8c691f0d15b40c0a5926a40","","schema:Person","Kyongo R.N. on field label:  Coll. Robert Kyongo\n\nprint on field label:  Los Angeles Museum"
"6ccfc59beaa36df9d1547e2e92b5dd9f","","schema:Person","Strimeneas S. On green label: S. Strimeneas Mavromichali 83 Athenes"
"839b5e0f509c0b9a56594aec45bb0945","","schema:Person","Not stated/W. Schlüter (Halle am Saale)"
"28bbb5c9fb411694f705f84fc79ec71a","","schema:Person","van der Putten F.C.E."
"18eac92b33cbb73d91c22669155461d7","","schema:Person","On Finsch label: No origin!"
"c2746b23d9db50bb08601ced84ffd3f8","","schema:Person","Croockewit H.W.E."
"c87de70b9c07c76e05c7b1be75807d3f","","schema:Person","Jansen E."
"5c0e373cccf76c0a72b02e657a35e54c","","schema:Person","Hardy du Dréneuf"
"0a34b3abd78f1e6b972de110373e5833","","schema:Person","Van Oordt G.J."
"13261b1ea1783968478c202afda28b15","","schema:Person","Grün H."
"350f405fd12ce3ac3d91da51bd1f72c3","","schema:Person","Pijpers P.; Vermunt J."
"927ac9646f3bda9f6245ecefae1cfa5b","","schema:Person","Von Rosenberg C.B.H. baron"
"7997e7d3b13bf10395747c4d0e0709b4","","schema:Person","Gräffe"
"dc0fc93a55cd0b1ddc3e637237dde6f9","","schema:Person","Radstake M."
"1b23218164ad2ffcaf026e4caa8ffba4","","schema:Person","Sinnema Sr. A."
"608d0341358b26433e88ef7c20b4e825","","schema:Person","Smit H.A.W."
"c0a7941df9c702df6a2b735a2b36997b","","schema:Person","Roeleveld J.G."
"0518308d127236ebb0dd4157409e7dab","","schema:Person","Pöppig E.F."
"c1f601520afdfb0ad7838573c51f4a81","","schema:Person","Neijssel C.J."
