"class","cultivarEpithet","externalClassificationSource","family","genericName","genus","geoClassificationCode","geoName","identificationID","infragenericEpithet","infraspecificEpithet","kingdom","nameAccordingTo","namePublishedIn","namePublishedInYear","nomenclaturalCode","nomenclaturalStatus","order","phylum","scientificName","scientificNameAuthorship","scientificNameID","specificEpithet","subfamily","subgenus","taxonID","taxonRank","taxonSortOrder","vernacularName"
"Aves","","","Dicaeidae Bonaparte, 1853","Dicaeum","Dicaeum Cuvier, 1816","","","f69d4d42aeecefff1bfcbd5bc834aa99","","chrysorrheum","Animalia","","","1829","ICZN","","Passeriformes","Chordata","Dicaeum chrysorrheum chrysorrheum Temminck, 1829","Temminck, 1829","","chrysorrheum","","","https://www.catalogueoflife.org/data/taxon/BNBX3","SUBSPECIES","",""
"Aves","","","Rhipiduridae Sundevall, 1872","Rhipidura","Rhipidura Vigors & Horsfield, 1827","","","f8253c4a85c07a6b534c4ff9f392f213","","diluta","Animalia","","","1864","ICZN","","Passeriformes","Chordata","Rhipidura diluta diluta Wallace, 1864","Wallace, 1864","","diluta","","","https://www.catalogueoflife.org/data/taxon/BNYWF","SUBSPECIES","",""
"Aves","","","Paridae Vigors, 1825","Parus","Parus Linnaeus, 1758","","","393b5b4260b09fb8e19cab53da9130d7","","major","Animalia","","","1758","ICZN","","Passeriformes","Chordata","Parus major major Linnaeus, 1758","Linnaeus, 1758","","major","","","https://www.catalogueoflife.org/data/taxon/B773G","SUBSPECIES","",""
"Aves","","","Phasianidae","Phasianus","Phasianus Linnaeus, 1758","","","96c5f4a2087b4f98d84690e6220c978a","","","Animalia","","","1758","ICZN","","Galliformes","Chordata","Phasianus colchicus Linnaeus, 1758","Linnaeus, 1758","","colchicus","","","https://www.catalogueoflife.org/data/taxon/4FWMN","SPECIES","",""
"Aves","","","Trochilidae","Anthracothorax","Anthracothorax F. Boie, 1831","","","fe7c641f96fc98c9c073a86c1065ec65","","","Animalia","","","","ICZN","","Apodiformes","Chordata","Anthracothorax nigricollis (Vieillot, 1817)","(Vieillot, 1817)","","nigricollis","Trochilinae","","https://www.catalogueoflife.org/data/taxon/67H6R","SPECIES","",""
"Aves","","","Estrildidae Bonaparte, 1850","Uraeginthus","Uraeginthus Cabanis, 1851","","","ddd4a68d8a2ad81bddb15d4d525c2be1","","","Animalia","","","1879","ICZN","","Passeriformes","Chordata","Uraeginthus ianthinogaster Reichenow, 1879","Reichenow, 1879","","ianthinogaster","","","https://www.catalogueoflife.org/data/taxon/7DND3","SPECIES","",""
"Aves","","","Fringillidae Leach, 1820","Carduelis","Linaria Bechstein, 1802","","","7fc31b4b10fe1e7292b6277425e2cc02","","cannabina","Animalia","","","","ICZN","","Passeriformes","Chordata","Linaria cannabina cannabina (Linnaeus, 1758)","(Linnaeus, 1758)","","cannabina","","","https://www.catalogueoflife.org/data/taxon/BNLPW","SUBSPECIES","",""
"Aves","","","Scolopacidae Rafinesque, 1815","Arenaria","Arenaria Brisson, 1760","","","3530933acdc39c534857b59512a5783d","","interpres","Animalia","","","","ICZN","","Charadriiformes","Chordata","Arenaria interpres interpres (Linnaeus, 1758)","(Linnaeus, 1758)","","interpres","","","https://www.catalogueoflife.org/data/taxon/BN2MZ","SUBSPECIES","",""
"Aves","","","Megalaimidae","Megalaima","Psilopogon S. Müller, 1836","","","c8150dac19415a166b7bfa386f11f0f6","","","Animalia","","","","ICZN","","Piciformes","Chordata","Psilopogon rafflesii (R. Lesson, 1839)","(R. Lesson, 1839)","","rafflesii","","","https://www.catalogueoflife.org/data/taxon/7WP6N","SPECIES","",""
"Aves","","","Podicipedidae Bonaparte, 1831","Podiceps","Podiceps Latham, 1787","","","dd8aaf079b003291272150ed14f5450c","","grisegena","Animalia","","","","ICZN","","Podicipediformes","Chordata","Podiceps grisegena grisegena (Boddaert, 1783)","(Boddaert, 1783)","","grisegena","","","https://www.catalogueoflife.org/data/taxon/BNWCC","SUBSPECIES","",""
"Aves","","","Momotidae","Hylomanes","Hylomanes M. H. K. Lichtenstein, 1839","","","d892d10974174d01f98bae98a8901f02","","","Animalia","","","1839","ICZN","","Coraciiformes","Chordata","Hylomanes momotula M. H. K. Lichtenstein, 1839","M. H. K. Lichtenstein, 1839","","momotula","","","https://www.catalogueoflife.org/data/taxon/3NGC2","SPECIES","",""
"Aves","","","Nectariniidae Vigors, 1825","Nectarinia","Cinnyris Cuvier, 1816","","","143a3c8225616d1411a44db5b2c28a5d","","","Animalia","","","","ICZN","","Passeriformes","Chordata","Cinnyris erythrocercus (Hartlaub, 1857)","(Hartlaub, 1857)","","erythrocercus","","","https://www.catalogueoflife.org/data/taxon/5Z6TH","SPECIES","",""
"Aves","","","Anatidae Leach, 1820","Anser","Anser Brisson, 1760","","","1d4d6c4e570d190b1fe7b917fd3d10be","","","Animalia","","","","ICZN","","Anseriformes","Chordata","Anser anser (Linnaeus, 1758)","(Linnaeus, 1758)","","anser","","","https://www.catalogueoflife.org/data/taxon/679X7","SPECIES","",""
"Aves","","","Rallidae","Rallus","Rallus Linnaeus, 1758","","","e239aa73895d8d5c6f981c92473afa40","","aquaticus","Animalia","","","1758","ICZN","","Gruiformes","Chordata","Rallus aquaticus aquaticus Linnaeus, 1758","Linnaeus, 1758","","aquaticus","","","https://www.catalogueoflife.org/data/taxon/BNYGX","SUBSPECIES","",""
"Aves","","","Acanthizidae Bonaparte, 1854","Acanthiza","Acanthiza Vigors & Horsfield, 1827","","","a8403e0a1d75b579ad8c5249f1f69404","","","Animalia","","","","ICZN","","Passeriformes","Chordata","Acanthiza chrysorrhoa (Quoy & Gaimard, 1830)","(Quoy & Gaimard, 1830)","","chrysorrhoa","","","https://www.catalogueoflife.org/data/taxon/64D32","SPECIES","",""
"Aves","","","Regulidae Vigors, 1825","Regulus","Regulus Cuvier, 1800","","","0d08f60ba6da28415bc97f88d998ca66","","regulus","Animalia","","","","ICZN","","Passeriformes","Chordata","Regulus regulus regulus (Linnaeus, 1758)","(Linnaeus, 1758)","","regulus","","","https://www.catalogueoflife.org/data/taxon/BNYNL","SUBSPECIES","",""
"Aves","","","Galbulidae","Galbula","Galbula Brisson, 1760","","","80ee7923b402da765decd2391c1c63ab","","ruficauda","Animalia","","","1816","ICZN","","Piciformes","Chordata","Galbula ruficauda ruficauda Cuvier, 1816","Cuvier, 1816","","ruficauda","","","https://www.catalogueoflife.org/data/taxon/BNG5K","SUBSPECIES","",""
"Aves","","","Strigidae","Glaucidium","Glaucidium F. Boie, 1826","","","08ade0384a8053d17f55c7684a2ac820","","","Animalia","","","","ICZN","","Strigiformes","Chordata","Glaucidium perlatum (Vieillot, 1817)","(Vieillot, 1817)","","perlatum","Surniinae","","https://www.catalogueoflife.org/data/taxon/3G64D","SPECIES","",""
"Aves","","","Rallidae","Amaurornis","Amaurornis Reichenbach, 1853","","","c46ca9d2312b31b8ec8fdf79bf947293","","","Animalia","","","","ICZN","","Gruiformes","Chordata","Amaurornis phoenicurus (Pennant, 1769)","(Pennant, 1769)","","phoenicurus","","","https://www.catalogueoflife.org/data/taxon/65YPD","SPECIES","",""
"Aves","","","Muscicapidae Fleming, 1822","Grandala","Grandala Hodgson, 1843","","","4bd987662737f8150a7b4572b8a1bb00","","","Animalia","","","1843","ICZN","","Passeriformes","Chordata","Grandala coelicolor Hodgson, 1843","Hodgson, 1843","","coelicolor","","","https://www.catalogueoflife.org/data/taxon/3H7MZ","SPECIES","",""
"Aves","","","Columbidae","Ptilinopus","Ptilinopus Swainson, 1825","","","e94f05e56f91533fe7b993619f867626","","","Animalia","","","","ICZN","","Columbiformes","Chordata","Ptilinopus pulchellus (Temminck, 1835)","(Temminck, 1835)","","pulchellus","Treroninae","","https://www.catalogueoflife.org/data/taxon/4Q7P7","SPECIES","",""
"Aves","","","Eurylaimidae","Psarisomus","Psarisomus Swainson, 1837","","","7a6318abcec9a067aa83a22ae31aad1e","","psittacinus","Animalia","","","","ICZN","","Passeriformes","Chordata","Psarisomus dalhousiae psittacinus (S. Muller, 1836)","(S. Muller, 1836)","","dalhousiae","Eurylaiminae","","https://www.catalogueoflife.org/data/taxon/BNXJ9","SUBSPECIES","",""
"Aves","","","Hirundinidae Rafinesque, 1815","Progne","Progne F. Boie, 1826","","","167bc0a7671c593ed43f4a7846d2238f","","subis","Animalia","","","","ICZN","","Passeriformes","Chordata","Progne subis subis (Linnaeus, 1758)","(Linnaeus, 1758)","","subis","","","https://www.catalogueoflife.org/data/taxon/BNXBN","SUBSPECIES","",""
"Aves","","","Charadriidae Leach, 1820","Pluvialis","Pluvialis Brisson, 1760","","","893858189f98f090a70b2ef0304b7aca","","","Animalia","","","","ICZN","","Charadriiformes","Chordata","Pluvialis apricaria (Linnaeus, 1758)","(Linnaeus, 1758)","","apricaria","","","https://www.catalogueoflife.org/data/taxon/4KKPV","SPECIES","",""
"Aves","","","Ploceidae Sundevall, 1836","Ploceus","Ploceus Cuvier, 1816","","","6a80c902a5370391c8de97a608c5ef3b","","infortunatus","Animalia","","","1902","ICZN","","Passeriformes","Chordata","Ploceus philippinus infortunatus Hartert, 1902","Hartert, 1902","","philippinus","","","https://www.catalogueoflife.org/data/taxon/BNW9F","SUBSPECIES","",""
"Aves","","","Parulidae","Parula","Setophaga Swainson, 1827","","","40c060fb3ee101f70606d3b067b0afce","","","Animalia","","","","ICZN","","Passeriformes","Chordata","Setophaga americana (Linnaeus, 1758)","(Linnaeus, 1758)","","americana","","","https://www.catalogueoflife.org/data/taxon/4X3BD","SPECIES","",""
"Aves","","","Psittacidae","Bolborhynchus","Bolborhynchus Bonaparte, 1857","","","3222412b0556bd465d3ec4e5311adeca","","","Animalia","","","","ICZN","","Psittaciformes","Chordata","Bolborhynchus orbygnesius (Souancé, 1856)","(Souancé, 1856)","","orbygnesius","","","https://www.catalogueoflife.org/data/taxon/MBNX","SPECIES","",""
"Aves","","","Turdidae","Turdus","Turdus Linnaeus, 1758","","","9fe18d6b34e36d84ba3012561c0618d5","","","Animalia","","","1758","ICZN","","Passeriformes","Chordata","Turdus pilaris Linnaeus, 1758","Linnaeus, 1758","","pilaris","","","https://www.catalogueoflife.org/data/taxon/59PMS","SPECIES","",""
"Aves","","","Prunellidae Richmond, 1908","Prunella","Prunella Vieillot, 1816","","","ce49f160ef967559e9730198249bb6cf","","modularis","Animalia","","","","ICZN","","Passeriformes","Chordata","Prunella modularis modularis (Linnaeus, 1758)","(Linnaeus, 1758)","","modularis","","","https://www.catalogueoflife.org/data/taxon/BNXGG","SUBSPECIES","",""
"Aves","","","Nectariniidae Vigors, 1825","Arachnothera","Arachnothera Temminck, 1826","","","85d960f48c4ef7545d7ae75bea40fd8f","","concolor","Animalia","","","1882","ICZN","","Passeriformes","Chordata","Arachnothera modesta concolor Snelleman, 1882","Snelleman, 1882","","modesta","","","https://www.catalogueoflife.org/data/taxon/BN2G7","SUBSPECIES","",""
"Aves","","","Platysteiridae Mathews, 1922","Platysteira","Platysteira Jardine & Selby, 1830","","","c6620cbdb18eb76ee92c36eb5bd3a8f2","","peltata","Animalia","","","1850","ICZN","","Passeriformes","Chordata","Platysteira peltata peltata Sundevall, 1850","Sundevall, 1850","","peltata","","","https://www.catalogueoflife.org/data/taxon/BNW5Y","SUBSPECIES","",""
"Aves","","","Psittaculidae","Domicella","Lorius Vigors, 1825","","","2360331a9756cca4fa782ccff1c74711","","","Animalia","","","","ICZN","","Psittaciformes","Chordata","Lorius garrulus (Linnaeus, 1758)","(Linnaeus, 1758)","","garrulus","","","https://www.catalogueoflife.org/data/taxon/6QNYV","SPECIES","",""
"Aves","","","Paridae Vigors, 1825","","Parus","","","5a39871daf747e9e47ada5cf0c92205c","","","Animalia","","","1758","ICZN","","Passeriformes","Chordata","Parus Linnaeus, 1758","Linnaeus, 1758","","","","","https://www.catalogueoflife.org/data/taxon/6J9Z","GENUS","",""
"Aves","","","Podicipedidae Bonaparte, 1831","Podiceps","Podiceps Latham, 1787","","","d6c8712273c868c797d4f7e904f3850e","","cristatus","Animalia","","","","ICZN","","Podicipediformes","Chordata","Podiceps cristatus cristatus (Linnaeus, 1758)","(Linnaeus, 1758)","","cristatus","","","https://www.catalogueoflife.org/data/taxon/BNWC9","SUBSPECIES","",""
"Aves","","","Trochilidae","Phaethornis","Phaethornis Swainson, 1827","","","00afbf71348e63a211d327f95ecf9392","","guy","Animalia","","","","ICZN","","Apodiformes","Chordata","Phaethornis guy guy (R. Lesson, 1833)","(R. Lesson, 1833)","","guy","Phaethornithinae","","https://www.catalogueoflife.org/data/taxon/BNTN2","SUBSPECIES","",""
"Aves","","","Picidae","Melanerpes","Melanerpes Swainson, 1832","","","3ea9ba6b50a9ac9fc6d7186b738ccc3c","","","Animalia","","","","ICZN","","Piciformes","Chordata","Melanerpes erythrocephalus (Linnaeus, 1758)","(Linnaeus, 1758)","","erythrocephalus","Picinae","","https://www.catalogueoflife.org/data/taxon/739DW","SPECIES","",""
