"clazz","cultivarEpithet","dateIdentified","externalClassificationSource","family","feedbackURL","genericName","genus","geoClassificationCode","geoName","identificationID","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","infragenericEpithet","infraspecificEpithet","isAcceptedIdentification","kingdom","materialEntityID","mediaID","nameAccordingTo","namePublishedIn","namePublishedInYear","nomenclaturalCode","nomenclaturalStatus","nucleotideAnalysisID","nucleotideSequenceID","occurrenceID","order","organismID","phylum","scientificName","scientificNameAuthorship","scientificNameID","specificEpithet","subfamily","subgenus","taxonAssignmentMethod","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","verbatimIdentification","vernacularName"
"","","","","","","","","","","586ba062906017206bbac5323c8cde6f","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.28640","","","","","","","","","","","","","","","","","","","","","","","","","","Sterna sandvicensis eurygnatha Saunders, 1876",""
"","","","","","","","","","","81dd1b4456cd5d5793922639b18f331a","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.260948.c","","","","","","","","","","","","","","","","","","","","","","","","","","Bubo bubo bubo Linnaeus, C 1758",""
"","","","","","","","","","","c818cec56b4f3c4101c0df297439867b","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.252899","","","","","","","","","","","","","","","","","","","","","","","","","","Oceanodroma leucorhoa (Vieillot)",""
"","","","","","","","","","","da5c86b3ef03f8185beae2ef78758a17","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.58046","","","","","","","","","","","","","","","","","","","","","","","","","","Ficedula hypoleuca hypoleuca Pallas, 1764",""
"","","","","","","","","","","8b657f8ae083eb836949ee41d564ff06","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.211568","","","","","","","","","","","","","","","","","","","","","","","","","","Anous minutus Boie",""
"","","","","","","","","","","43ce2c0b4b115b585f0a408af987b102","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.52890","","","","","","","","","","","","","","","","","","","","","","","","","","Otus bakkamoena glabripes (Swinhoe)",""
"","","","","","","","","","","f3bb00a5671e7b79de3a4fe088f14208","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.4263","","","","","","","","","","","","","","","","","","","","","","","","","","Aythya ferina (Linnaeus)",""
"","","","","","","","","","","8fc19c2b9729fd15db1c9e2b8ebb5213","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.177951","","","","","","","","","","","","","","","","","","","","","","","","","","Agyrtria",""
"","","","","","","","","","","0dd3307d1e189a2c41e7944e1c759133","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.39914","","","","","","","","","","","","","","","","","","","","","","","","","","Pipilo erythrophthalmus arcticus cf Swainson, 1832",""
"","","","","","","","","","","dc4f02284e5633331ab5b589b82e4563","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.154818","","","","","","","","","","","","","","","","","","","","","","","","","","Carpodacus erythrinus ferghanensis (Kozlova, 1939)",""
"","","","","","","","","","","a4b8a33cff3ab88deea83e79373bb283","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.72441","","","","","","","","","","","","","","","","","","","","","","","","","","Hylexetastes perrotii perrotii (Lafresnaye, 1844)",""
"","","","","","","","","","","bfe1dcc7a9905a4e6c4d248ac323d0ca","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259619","","","","","","","","","","","","","","","","","","","","","","","","","","Acrocephalus palustris (Bechstein, 1798)",""
"","","","","","","","","","","5192cfa947ea2629bed68b087f7ba85a","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.11006","","","","","","","","","","","","","","","","","","","","","","","","","","Charadrius mongolus Pallas, 1776",""
"","","","","","","","","","","f360d64a70cc51b7cfadd4010cb8b308","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.1206","","","","","","","","","","","","","","","","","","","","","","","","","","Sturnella militaris Linnaeus, 1758",""
"","","","","","","","","","","ca8ed3a26701dc5c568905545739b200","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.28059","","","","","","","","","","","","","","","","","","","","","","","","","","Turdus philomelos philomelos Brehm, C.L., 1831",""
"","","","","","","","","","","350ba288f0dcaa69f970776a6b8c8254","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.35627","","","","","","","","","","","","","","","","","","","","","","","","","","Ixobrychus exilis erythromelas (Vieillot)",""
"","","","","","","","","","","5bd20b789b7aa2c98433f516795b5fd6","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.221191","","","","","","","","","","","","","","","","","","","","","","","","","","Erolia testacea (Pallas, 1764)",""
"","","","","","","","","","","c3dc409bb417db6d4df8e0711ab37226","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.16939","","","","","","","","","","","","","","","","","","","","","","","","","","Buteo lagopus lagopus (Pontoppidan, 1763)",""
"","","","","","","","","","","e21058935948536b70f27b01f6e15eff","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.213553","","","","","","","","","","","","","","","","","","","","","","","","","","Treron bicincta (Jerdon)",""
"","","","","","","","","","","7b2ef266318132b817217367281232cc","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.29745","","","","","","","","","","","","","","","","","","","","","","","","","","Gallus gallus bankiva Temminck",""
"","","","","","","","","","","db8ed281eb59adf1e54d73eb8b1de375","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.50624","","","","","","","","","","","","","","","","","","","","","","","","","","Falco tinnunculus tinnunculus Linnaeus, 1758",""
"","","","","","","","","","","7ee8a49d2f909e1af924c43d69feb822","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.57315","","","","","","","","","","","","","","","","","","","","","","","","","","Emberiza citrinella erythrogenys Brehm, 1855",""
"","","","","","","","","","","325dc93285ae2bc841732ab6b040b742","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.179103","","","","","","","","","","","","","","","","","","","","","","","","","","Columba rufina rufina Temminck, 1810",""
"","","","","","","","","","","6d9bfe9406f3bdfb14bbf52f45590bc1","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.59634","","","","","","","","","","","","","","","","","","","","","","","","","","Phylloscopus ruficapillus johnstoni Sclater, 1927",""
"","","","","","","","","","","9b0559f36dc62b9dfed3e4be04e88359","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.56257","","","","","","","","","","","","","","","","","","","","","","","","","","Anas clypeata Linnaeus, 1758",""
"","","","","","","","","","","50f04b848d6dfbae706842fece5bea3b","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.161316","","","","","","","","","","","","","","","","","","","","","","","","","","Padda oryzivora (Linnaeus, 1758)",""
"","","","","","","","","","","d767f66467f511876ef694a759175576","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.50950","","","","","","","","","","","","","","","","","","","","","","","","","","Vanellus vanellus (Linnaeus, 1758)",""
"","","","","","","","","","","9dae06f4dfe6ed78a24270bf71e250be","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.5092444.b","","","","","","","","","","","","","","","","","","","","","","","","","","Bombycilla cedrorum Vieillot, 1808",""
"","","","","","","","","","","d5c53f33935cb1b9b46f1d26baf4f984","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.135228","","","","","","","","","","","","","","","","","","","","","","","","","","Rhipidura javanica javanica (Sparrman, 1788)",""
"","","","","","","","","","","1cd36d9a632cba40e955a9823dad2d8d","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.86161","","","","","","","","","","","","","","","","","","","","","","","","","","Ploceus velatus vitellinus (Lichtenstein, 1823)",""
